Accepts Apple Pay,business_accepts_bitcoin,business_accepts_creditcards,Accepts Google Pay,alcohol,ambience,restaurants_attire,best_nights,bike_parking,byappointmentonly,Cannabis Products,caters,coat_check,restaurants_delivery,dogs_allowed,drive_thru,Gender Neutral Restrooms,Good For,good_for_dancing,restaurants_good_for_groups,good_for_kids,Good for Working,happy_hour,Has Dairy-free Options,Has Gluten-free Options,Has Halal Options,Has Kosher Options,Has Pool Table,Has Soy-free Options,has_tv,Liked by Vegans,Liked by Vegetarians,Music,noise_level,Offers Military Discount,Open to All,outdoor_seating,business_parking,smoking,restaurants_takeout,restaurants_reservations,Waiter Service,wheelchair_accessible,wifi,business_id
Null,Null,Yes,Null,Null,Null,Null,Null,No,Null,,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Yes,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,Null,Private Lot,Null,Yes,Null,Null,Null,Null,QOlGFm6M_33fzGgQ5I-Kgg
No,Null,No,No,Null,Null,Null,Null,Yes,Null,,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,Null,Private Lot,Null,Yes,Null,Null,Null,Null,HsrEbWCg8K06pUhx469uSw
No,Null,Yes,No,No,Casual,Casual,Null,Yes,Null,,No,Null,Yes,Null,No,Null,"Breakfast, Brunch, Lunch, Dinner, Late Night",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,Free,6HdzmAatFoB8UDep4n9QIw
Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,Null,Null,Null,Null,Null,Null,Null,No,bcpCJ7q9_HXO53eaeuIZrw
No,Null,No,Null,No,Null,Casual,Null,No,Null,,Yes,Null,No,Null,Null,Null,Lunch,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Quiet,Null,,No,Street,Null,Yes,No,No,Null,No,Rhz38lsptoxX9IWS641LFA
Null,Null,Yes,Null,No,Null,Casual,Null,Null,Null,,Null,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Yes,,Null,Null,,No,Null,Null,Yes,Yes,Null,Null,No,Yo8NIJEtc8UEbPd38L35ow
No,No,Yes,No,No,Casual,Null,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Null,"Breakfast, Brunch, Lunch",Null,Yes,Yes,Yes,Null,,Null,,,Null,Yes,No,Yes,Yes,,Average,Null,,Yes,Private Lot,Null,Yes,No,Null,Null,Free,0XEqyl_lVaJNHRKxNcjJZg
Null,Null,Yes,Null,Beer & Wine Only,Intimate,Casual,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,Yes,Null,Yes,No,Ql_J2DSIE8QYp5rXf3721A
No,Null,Yes,No,Full Bar,Null,Null,"Fri, Sat, Sun",Yes,Null,,Null,Null,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,Null,,Null,,,Null,,Yes,Null,Null,DJ,Loud,Null,,Yes,"Valet, Street, Private Lot",Null,Null,Null,Null,Null,Null,QqE0ECLim5hA-sV-kJiIIA
Null,Null,Yes,Null,No,Null,Null,Null,Null,Null,,No,Null,No,Null,Null,Null,Null,Null,No,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,awAxthsSo0Y8KBQXJhNxvQ
No,Null,Yes,Null,No,Casual,Casual,Null,No,Null,,Yes,Null,Yes,Null,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,Yes,Null,Null,No,Jl6_g-pZD5aQGg2y87myeQ
No,No,Yes,Null,Full Bar,"Casual, Trendy",Null,Null,No,Null,,Null,No,Null,No,Null,Null,Null,Null,Yes,Null,Null,Yes,,Null,,,No,,Yes,Null,Null,,Average,Null,,No,Null,Yes,Null,No,Null,Null,Free,HW7zxZhaq01rqphUvae7cA
Null,Null,Yes,Null,Beer & Wine Only,Casual,Casual,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,Yes,Null,Null,No,4VXIS8vpNzEysXZVN5xGDA
No,Null,Yes,No,Full Bar,Casual,Null,"Fri, Sat, Sun",Yes,Null,,Null,Null,Null,No,Null,Null,Null,Null,Yes,Null,Null,Null,,Null,,,Yes,,Yes,Null,Null,Juke Box,Average,Null,,No,Private Lot,Yes,Null,No,Null,Yes,Free,JpPlBOJg9fb4Ib_iQnnURw
Null,Null,Yes,Null,No,Casual,Casual,Null,Yes,Null,,No,Null,Yes,Null,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,9J-Vg2-uqjreSRtITaDlMg
Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,,Null,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,No,Null,Null,Yes,No,Null,Null,Null,oJujreJoOoskuA09JJ39FQ
Yes,Null,Yes,Null,No,Null,Null,Null,Yes,Null,,Null,Null,No,Null,Null,Null,Breakfast,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Loud,Null,,No,Null,Null,Yes,No,Null,Null,Free,eJECvXFIUnfcDE6PzKS2Yw
Null,Null,Yes,Null,No,Casual,Casual,Null,Null,Null,,Null,Null,No,Null,Null,Null,Null,Null,Yes,No,Null,Null,,Null,,,Null,,Yes,Null,Null,,Very Loud,Null,,No,Null,Null,Yes,No,Null,Null,Null,Qc-bULSBAyVh_qaKRWkF9A
No,Null,Yes,Null,Full Bar,Casual,Casual,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Null,"Lunch, Dinner, Dessert",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Quiet,Null,,Yes,Private Lot,Null,Yes,Yes,Null,Null,Free,O9J0XoJR16wWbSZpXs9Uwg
Null,Null,Yes,Null,No,Null,Casual,Null,Null,Null,,Null,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Quiet,Null,,No,Private Lot,Null,Yes,Yes,Null,Null,Free,uwTzA758DKewtUJMe-C1fA
Null,Null,Yes,Null,No,Null,Casual,Null,Null,Null,,Yes,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Quiet,Null,,Yes,Null,Null,Yes,No,Null,Null,Null,YIbsxjyP2jNzoH9RlxaSYA
No,Null,Yes,Null,No,Casual,Null,Null,Yes,Null,,No,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Null,Null,,Yes,Private Lot,Null,Yes,No,Null,Yes,Free,EomaPrsFLVSe9TLRtpevwA
No,Null,Yes,Null,Full Bar,"Divey, Casual",Casual,Null,Yes,Null,,No,Null,No,Null,Null,Null,"Lunch, Dinner, Late Night",Null,Yes,No,Null,Yes,,Null,,,Yes,,Yes,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,Free,fHo_ycJ1OQ_H7DyctJhr6A
No,Null,Yes,No,Beer & Wine Only,Casual,Casual,Null,Yes,Null,,No,Null,No,No,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,Yes,Null,,,Null,Yes,No,Yes,Yes,,Average,Null,,No,Null,Null,Yes,Yes,Yes,Yes,No,qsJkjQoM3Hdg6Gtqp2S9_w
No,Null,Yes,Null,No,Casual,Casual,Null,No,Null,,No,Null,No,Null,Null,Null,"Lunch, Dinner, Late Night",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Garage,Null,Yes,No,Null,Null,No,q3SXDX-a-T_DMU2h2CJzcg
Yes,Null,Yes,Null,Full Bar,Casual,Casual,Null,No,Null,,Yes,Null,Yes,Null,Null,Null,"Lunch, Dinner, Late Night",Null,Yes,No,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,Yes,Null,Null,No,21sGRVR7HEs_t6PdB9tGMw
Yes,Null,Yes,Null,Null,Null,Null,Null,Yes,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,Null,Private Lot,Null,Null,Null,Null,Null,Null,BYKdkOGUGDsuYV9XW4_RGA
No,Null,Yes,No,Full Bar,Divey,Casual,"Thu, Fri, Sat",Yes,Null,,Null,Null,Yes,Null,Null,Null,Null,Null,Yes,No,Null,Yes,,Null,,,No,,Yes,Null,Null,,Loud,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,mcWAIj1u1S-QDBhB7CiIdQ
Yes,Null,Yes,Yes,No,Casual,Casual,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Null,"Brunch, Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,JgkfjCL1NfMBC_M_hax_3Q
Null,Null,Yes,Null,Full Bar,Romantic,Dressy,Null,Null,Null,,No,Null,No,Null,Null,Null,Null,Null,Yes,No,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,Yes,Null,Null,No,3m2XZFVraCiqjgLxHi5MdA
Null,Null,Yes,Null,No,Casual,Casual,Null,Null,Null,,Yes,Null,No,Null,Null,Null,"Breakfast, Brunch, Lunch",Null,No,Yes,Null,Null,,Yes,,,Null,Yes,No,Yes,Yes,,Average,Null,,Yes,"Street, Private Lot",Null,Yes,Yes,Null,Null,Free,SuRxV4YkPsvyyqK57On0rQ
Null,Null,Yes,Null,No,Casual,Casual,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Quiet,Null,,No,Null,Null,Yes,No,Null,Null,No,KTDDw1gAV4G_YoKOdQ1Ygw
Yes,Null,Yes,Null,Full Bar,Casual,Casual,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,"Lunch, Dinner",No,Yes,Yes,Null,Yes,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,Yes,Null,Null,No,LZSyWy4IHgXg6QhW2jrBlw
No,Null,Yes,Null,Beer & Wine Only,Casual,Casual,Null,No,Null,,Yes,Null,Yes,Null,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Quiet,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,_8yxceldCT7oe0wJC-yDPA
No,Null,Yes,Null,No,Casual,Null,Null,Yes,Null,,No,Null,Yes,Null,Null,Null,"Breakfast, Dinner, Late Night",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,Free,0Nb4piKDUVbedlrakwEUuw
Null,Null,Yes,Null,Full Bar,Casual,Null,Null,Yes,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null,Null,Null,,Null,,,No,,Yes,Null,Null,,Quiet,Null,,No,Private Lot,Null,Null,No,Null,Null,Null,C1fyoypOblHhDzSxXTRWKg
Null,Null,Yes,Null,Beer & Wine Only,Null,Casual,Null,Null,Null,,Null,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,No,Null,Null,No,Null,Null,Null,Null,Hg3pn4JwDD0Mm_Hxr-at2w
Null,Null,Yes,Null,No,Null,Casual,Null,No,Null,,Yes,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Quiet,Null,,No,Null,Null,Yes,Yes,Null,Yes,No,vX-FwyJ7eINXn_Gn6CqMFg
Null,Null,Yes,Null,Beer & Wine Only,Casual,Null,Null,Null,Null,,Yes,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,Yes,Private Lot,Null,Yes,Yes,Null,Null,Free,DO3FefiMYiPYsEl6O8W2dw
No,No,Yes,Null,No,Casual,Casual,Null,No,Null,,Yes,Null,Yes,No,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,No,Null,Free,zBD6zc8YU-TA0_KJmN1tpA
No,Null,No,No,Full Bar,Null,Null,Null,Yes,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null,Null,Null,,Null,,,Yes,,Yes,Null,Null,,Average,Null,,No,Null,Null,Null,No,Null,Null,Null,tX2UUyP3WCCsfqWGQcMBkA
Null,Null,Yes,Null,No,Null,Null,Null,Null,Null,,No,Null,No,Null,Null,Null,Null,Null,No,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Quiet,Null,,No,Null,Null,Yes,No,Null,Null,No,nQvn3VIhBqfD43Ag7QfflA
No,Null,Yes,Null,No,Casual,Null,Null,Yes,Null,,Yes,Null,Null,Null,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,Yes,Null,Null,No,tVW7pefO8xIgWMF86oVhKQ
No,Null,Yes,No,No,Casual,Casual,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,"Breakfast, Lunch, Dinner, Late Night",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,No,Null,No,Fkj8vJocYilePMZv2y54WA
Yes,Null,Yes,No,Full Bar,Classy,Casual,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Null,"Brunch, Lunch, Dinner, Dessert",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,Yes,"Valet, Garage",Null,Yes,Yes,Null,Null,No,eBj_YyJU5jVu6tbZCkdtDA
No,No,Yes,No,No,Null,Null,Null,No,Null,,Yes,Null,Yes,No,No,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,No,Yes,No,h5qBxa_L-pIdNSOBQxTNGQ
No,Null,Yes,Null,No,Casual,Null,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,"Breakfast, Lunch",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,Yes,Private Lot,Null,Yes,No,No,Null,Free,a3vug2R5PvBCmzr6KU5RnA
No,Null,Yes,Null,No,Null,Null,Null,Yes,Null,,No,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Null,Null,,Yes,Private Lot,Null,Yes,No,Null,Null,No,UGy0QULAPPRcOUJQSiRmGQ
No,Null,Yes,Null,No,Casual,Null,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,"Breakfast, Lunch",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,Yes,Private Lot,Null,Yes,No,No,Null,Free,a3vug2R5PvBCmzr6KU5RnA
No,Null,Yes,Null,No,Null,Null,Null,Yes,Null,,No,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Null,Null,,Yes,Private Lot,Null,Yes,No,Null,Null,No,UGy0QULAPPRcOUJQSiRmGQ
No,Null,Yes,Null,No,Null,Casual,Null,Yes,Null,,No,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Null,Null,,No,Null,Null,Yes,No,Null,Yes,Free,rI1wtjri4NhO3V-hCsMCiA
No,No,Yes,Null,Full Bar,Trendy,Null,"Thu, Fri, Sat",No,Null,,Null,Null,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,Null,,Null,,,No,,Yes,Null,Null,DJ,Average,Null,,Yes,Street,Null,Null,No,Null,Null,No,rTx5vu0zuhggAbgsx1uVtA
No,Null,Yes,Null,No,Null,Casual,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Loud,Null,,No,Null,Null,Yes,No,No,Null,No,txeee1LquHOaroqXodi4UQ
No,Null,Yes,Null,Null,Null,Null,Null,Null,Null,,Null,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Null,Null,,Yes,Null,Null,Yes,No,Null,Null,Null,bU9RYLrF77bxO2pSA0Ba7Q
No,Null,Yes,Null,Beer & Wine Only,Casual,Casual,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,Yes,Yes,Yes,Yes,,Average,Null,,No,Private Lot,Null,Yes,No,Yes,Null,No,MXC9pwIxovWUc9yu1F8OxA
Yes,No,Yes,Null,No,Casual,Null,Null,Yes,Null,,No,Null,No,Null,Null,Null,"Breakfast, Brunch, Lunch",Null,Yes,Yes,Yes,Null,,Null,,,Null,,No,Null,Null,,Quiet,Null,,Yes,Private Lot,Null,Yes,No,Null,Null,Free,x71EvWJDVKZfM-OiYDWZ6A
No,No,Yes,No,Beer & Wine Only,Casual,Casual,Null,No,Null,,No,Null,Yes,Null,Null,Null,Dinner,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Yes,,Average,Null,,No,Private Lot,Null,Yes,Yes,Null,Null,No,6H8xfhoZ2IGa3eNiY5FqLA
No,Null,Yes,Null,Beer & Wine Only,Casual,Casual,Null,No,Null,,No,Null,No,Null,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Quiet,Null,,No,Null,Null,Yes,No,Null,Null,No,ydUk0peVAOgiYq1l3U5SaQ
No,Null,Yes,No,No,Casual,Casual,Null,No,Null,,Yes,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,Yes,Null,Null,No,M990h0-4g-wpJN-qlnqFAg
Null,Null,Yes,Null,No,Casual,Casual,Null,Null,Null,,No,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,Ea04rGA3H-ZqY1nHLpI2FQ
No,Null,Yes,Null,No,Casual,Null,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Yes,Lunch,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Quiet,Null,,Yes,Private Lot,Null,Yes,No,Null,Null,Free,ZgPnRzWjQR5NtiauGBww7g
No,Null,Yes,No,Null,Null,Null,Null,Yes,Null,,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,Null,Private Lot,Null,Yes,Null,Null,Null,No,slVkMoNTCGI2rOhMaL5u5A
Null,Null,Yes,Null,Null,Null,Null,Null,Yes,Null,,Null,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Null,Null,,No,Null,Null,Yes,No,Null,Null,Null,4uMs5UbtIAaHhuKQlQhXEQ
Null,Null,Yes,Null,Null,Null,Null,Null,Yes,Null,,Null,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Null,Null,,No,Null,Null,Yes,No,Null,Null,Null,4uMs5UbtIAaHhuKQlQhXEQ
Null,Null,Yes,Null,No,Null,Casual,Null,Null,Null,,Yes,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Quiet,Null,,Yes,"Valet, Garage, Street, Private Lot, Validated",Null,Yes,No,Null,Null,No,vsGqvLu4OlL2GDmPWSVx_w
No,Null,Yes,No,No,Null,Null,Null,Yes,Null,,No,Null,No,Null,No,Null,"Lunch, Late Night",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Null,Null,Yes,No,No,Null,No,QIn3PuGUkinSibUn-NsljQ
Null,Null,Yes,Null,No,Casual,Null,Null,Yes,Null,,No,Null,No,Null,Yes,Null,"Lunch, Dinner, Late Night",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Yes,,Average,Null,,No,Null,Null,Yes,No,No,Null,No,5fpXjlC71y_mKORnPdX5zA
Null,Null,Yes,Null,No,Casual,Null,Null,Yes,Null,,Yes,Null,No,Null,No,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Street,Null,Yes,No,No,Null,No,uTn8bL6sabHD2916u5mvkA
No,Null,Yes,Null,No,Casual,Null,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Loud,Null,,No,Garage,Null,Yes,No,No,Null,No,wKI0q-WkPi0N3Mk_T3frmQ
Null,Null,Yes,Null,No,Null,Casual,Null,Null,Null,,No,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Quiet,Null,,No,Null,Null,Yes,No,Null,Null,No,CcMi0EM4KFqa_4hVe1oN3g
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,Null,Null,Null,Null,Null,Null,Null,No,Null,Null,Null,,Null,,,Null,,No,Null,Null,,Null,Null,,Null,Null,Null,Null,Null,Null,Null,Null,9Y0dDkFEe_spzPqccq2hIw
Null,Null,Yes,Null,No,Null,Casual,Null,Null,Null,,No,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Quiet,Null,,No,Null,Null,Yes,No,Null,Null,No,CcMi0EM4KFqa_4hVe1oN3g
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,Null,Null,Null,Null,Null,Null,Null,No,Null,Null,Null,,Null,,,Null,,No,Null,Null,,Null,Null,,Null,Null,Null,Null,Null,Null,Null,Null,9Y0dDkFEe_spzPqccq2hIw
No,Null,Yes,Yes,No,Casual,Casual,Null,Yes,Null,,No,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,Yes,Null,Null,Free,03icrim6SfEQJlejDMbzsA
Null,Null,Yes,Null,No,Casual,Null,Null,Yes,Null,,No,Null,No,Null,Yes,Null,Lunch,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Null,Null,Yes,No,No,Null,Free,4s_kb5VXnx96fEJLZ_AkIQ
Null,Null,Yes,Null,No,Null,Null,Null,Yes,Null,,No,Null,No,Null,Null,Null,"Breakfast, Lunch, Dessert",Null,Yes,Yes,Yes,Null,,Null,,,Null,,Yes,Null,Null,,Null,Null,,No,Street,Null,Yes,No,No,Null,Free,T6VKCBhHojQkCWp_IYO24w
No,Null,Yes,Null,No,Null,Casual,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Null,Lunch,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Quiet,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,QCe_OTC_9Vf5-oQuflQH7Q
No,Null,Yes,Null,No,Null,Casual,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Null,Lunch,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Quiet,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,QCe_OTC_9Vf5-oQuflQH7Q
Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,Null,Private Lot,Null,Null,Null,Null,Null,Null,wPxrC9l4c4IGgLVancQzgA
Null,Null,Yes,Null,Beer & Wine Only,Casual,Null,Null,Yes,Null,,Null,Null,Yes,Null,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Yes,,Average,Null,,No,Private Lot,Null,Yes,No,Yes,Null,Free,9wNrqTeoEepFSbFu4QLuUQ
No,Null,Yes,Null,No,Casual,Null,Null,Yes,No,,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null,Null,Null,,Null,,,Null,,Yes,Null,Null,DJ,Average,Null,,No,Private Lot,Null,Null,Null,Null,Null,Free,mF5L7qVH829Ow68Lz8PMNg
Null,Null,Yes,Yes,Beer & Wine Only,Casual,Casual,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Null,"Breakfast, Brunch, Lunch",Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,Yes,Private Lot,Null,Yes,Yes,Yes,Null,Free,3FlWR_osNPb8dcqLgHebHw
Null,Null,Yes,Null,No,Casual,Casual,Null,Null,Null,,Yes,Null,Yes,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,Yes,Private Lot,Null,Yes,No,Null,Null,Null,UiBRXZKRV9EpU9EpERZIFw
No,Null,Yes,Null,No,Casual,Casual,Null,Yes,Null,,Yes,Null,No,Null,Null,Null,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,No,8L_eeOwZryvlUEO42Zq8nQ
No,Null,Yes,Null,Full Bar,Casual,Null,Null,Yes,Null,,No,Null,No,Null,Null,Null,Dinner,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Loud,Null,,Yes,Private Lot,Null,Yes,No,Null,Null,No,hPtLBHnfTjIefcnwZh48jA
Null,Null,No,Null,Beer & Wine Only,Null,Casual,Null,Null,Null,,Null,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Average,Null,,No,Null,Null,Yes,No,Null,Null,Null,DX690eOaqO7CK2Qr6__rMQ
Null,Null,Yes,Null,Null,Null,Casual,Null,Null,Null,,Yes,Null,Yes,Null,Null,Null,Null,Null,Null,Yes,Null,Null,,Null,,,Null,,Null,Null,Null,,Null,Null,,Yes,Null,Null,Yes,Null,Null,Null,No,t8w-NFL8B9E2IdOqj5MQng
Null,Null,Yes,Null,No,Casual,Casual,Null,Yes,Null,,No,Null,No,Null,Null,Null,Null,Null,Yes,Yes,Null,Null,,Null,,,Null,,No,Null,Null,,Average,Null,,No,Private Lot,Null,Yes,No,Null,Null,Free,_7kVnn5_19ckuFPS9PCrpQ
No,Null,Yes,Null,Beer & Wine Only,Casual,Casual,Null,Yes,Null,,Yes,Null,Yes,Null,Null,Yes,"Lunch, Dinner",Null,Yes,Yes,Null,Null,,Null,,,Null,,Yes,Null,Null,,Quiet,Null,,No,Private Lot,Null,Yes,Yes,Yes,Null,Free,3ZHyw0d8mk0HOEP7v4fW1A
