RestaurantName,LocationName,CategoryName,Address_x,City_x,State_x,Zip,Violations,CurrentDemerits,InspectionDemerits,CurrentScore,InspectionScore,CurrentGrade,InspectionGrade,BusinessId,Neighborhood,Address_y,City_y,State_y,Stars,ReviewCount,AcceptsInsurance,AgesAllowed,Alcohol,Ambience,BYOB,BYOBCorkage,BestNights,BikeParking,BusinessAcceptsBitcoin,BusinessAcceptsCreditCards,BusinessParking,ByAppointmentOnly,Caters,CoatCheck,Corkage,DietaryRestrictions,DogsAllowed,DriveThru,GoodForDancing,GoodForKids,GoodForMeal,HairSpecializesIn,HappyHour,HasTV,Music,NoiseLevel,Open24Hours,OutdoorSeating,RestaurantsAttire,RestaurantsCounterService,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsPriceRange2,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,Smoking,WheelchairAccessible,WiFi
Chicken Now,Chicken Now @ LV OUTLET CENTER,Restaurant,7400 Las Vegas Blvd,Las Vegas,Nevada,89123.0,23,27.0,51.0,72.5,80.0,C,B,4uMs5UbtIAaHhuKQlQhXEQ,Southeast,7400 Las Vegas Blvd S,Las Vegas,NV,3.5,28,Null,Null,Null,0.0,Null,Null,Null,1.0,Null,1.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,1.0,0.0,Null,Null,1.0,Null,Null,Null,0.0,0.0,Null,0.0,1.0,2,0.0,Null,1.0,Null,Null,Null
Chicken Now,LV Outlet Center - Chicken Now,Restaurant,7400 Las Vegas Blvd,Las Vegas,Nevada,89123.0,83,90.0,172.0,95.0,91.0,A,A,4uMs5UbtIAaHhuKQlQhXEQ,Southeast,7400 Las Vegas Blvd S,Las Vegas,NV,3.5,28,Null,Null,Null,0.0,Null,Null,Null,1.0,Null,1.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,1.0,0.0,Null,Null,1.0,Null,Null,Null,0.0,0.0,Null,0.0,1.0,2,0.0,Null,1.0,Null,Null,Null
Flame Kabob,Flame Kabob,Restaurant,6350 W Charleston Blvd,Las Vegas,Nevada,89146.0,6,27.0,51.0,95.0,88.33333333333331,A,B,vsGqvLu4OlL2GDmPWSVx_w,Westside,"6350 W Charleston Blvd, Ste 120",Las Vegas,NV,4.5,7,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,1.0,5.0,Null,1.0,Null,Null,Null,0.0,Null,Null,1.0,2.0,Null,Null,1.0,Null,0.0,Null,1.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,1.0,0.0
Roberto's Taco Shop,ROBERTO'S TACO SHOP,Restaurant,6355 E RUSSELL,Las Vegas,Nevada,89122.0,111,156.0,267.0,95.0,90.41666666666669,A,A,QIn3PuGUkinSibUn-NsljQ,,5111 Boulder Hwy,Las Vegas,NV,2.5,17,Null,Null,0.0,0.0,Null,Null,Null,1.0,Null,1.0,0.0,Null,0.0,Null,Null,Null,Null,0.0,Null,1.0,2.0,Null,Null,0.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,Null,0.0
Roberto's Taco Shop,ROBERTO'S TACO SHOP,Restaurant,6355 E RUSSELL,Las Vegas,Nevada,89122.0,111,156.0,267.0,95.0,90.41666666666669,A,A,5fpXjlC71y_mKORnPdX5zA,,6355 E Russell Rd,Las Vegas,NV,2.5,48,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,0.0,Null,Null,Null,Null,Null,Null,1.0,Null,1.0,3.0,Null,Null,0.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,1.0,0.0
Roberto's Taco Shop,ROBERTO'S TACO SHOP,Restaurant,6355 E RUSSELL,Las Vegas,Nevada,89122.0,111,156.0,267.0,95.0,90.41666666666669,A,A,apATPHcdiWr-Tgywu6mvHg,Southeast,6355 E Russell Rd,Las Vegas,NV,2.5,36,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,0.0,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,1.0,Null,Null,0.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,Null,0.0
Panda Express,Panda Express @ RED ROCK,Restaurant,11011 W Charleston Blvd,Las Vegas,Nevada,89135.0,20,91.0,38.0,95.0,95.0,A,A,uTn8bL6sabHD2916u5mvkA,South Summerlin,"11010 Lavender Hill Dr, Ste 100",Las Vegas,NV,3.5,34,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,0.0,Null,1.0,2.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,Null,0.0
Panda Express,Panda Express @ RED ROCK,Restaurant,11011 W Charleston Blvd,Las Vegas,Nevada,89135.0,20,91.0,38.0,95.0,95.0,A,A,wKI0q-WkPi0N3Mk_T3frmQ,South Summerlin,11011 W Charleston Blvd,Las Vegas,NV,3.0,22,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,0.0,Null,1.0,1.0,Null,Null,0.0,Null,2.0,Null,0.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,1.0,0.0
Polish Deli,Polish Deli & Market,Restaurant,5900 W Charleston Blvd 4,Las Vegas,Nevada,89146.0,15,30.0,27.0,95.0,95.0,A,A,-tseCGdDvepLP8IIWtZikQ,Westside,5900 W Charleston Blvd,Las Vegas,NV,4.5,34,Null,Null,0.0,1.0,Null,Null,Null,Null,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,0.0,Null,Null,1.0,Null,0.0,Null,0.0,0.0,Null,0.0,0.0,1,0.0,0.0,1.0,Null,1.0,0.0
Pizza Patron,Pizza Patron,Restaurant,2885 E Charleston Blvd,Las Vegas,Nevada,89104.0,10,15.0,25.0,95.0,95.0,A,A,CcMi0EM4KFqa_4hVe1oN3g,Downtown,2305 E Sahara Ave,Las Vegas,NV,2.0,3,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,1.0,0.0,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,0.0,Null,Null,0.0,Null,0.0,Null,0.0,0.0,Null,1.0,1.0,1,0.0,0.0,1.0,Null,Null,0.0
Pizza Patron,Pizza Patron,Restaurant,2885 E Charleston Blvd,Las Vegas,Nevada,89104.0,10,15.0,25.0,95.0,95.0,A,A,9Y0dDkFEe_spzPqccq2hIw,Downtown,2885 E Charleston Blvd,Las Vegas,NV,3.5,5,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0.0,Null,Null,Null,Null,Null,Null,Null,0.0,Null,Null,Null,Null,Null,Null,Null
Pizza Patron,Pizza Patron,Restaurant,2305 E Sahara Ave F,Las Vegas,Nevada,89104.0,38,21.0,81.0,95.0,90.71428571428572,A,A,CcMi0EM4KFqa_4hVe1oN3g,Downtown,2305 E Sahara Ave,Las Vegas,NV,2.0,3,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,1.0,0.0,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,0.0,Null,Null,0.0,Null,0.0,Null,0.0,0.0,Null,1.0,1.0,1,0.0,0.0,1.0,Null,Null,0.0
Pizza Patron,Pizza Patron,Restaurant,2305 E Sahara Ave F,Las Vegas,Nevada,89104.0,38,21.0,81.0,95.0,90.71428571428572,A,A,9Y0dDkFEe_spzPqccq2hIw,Downtown,2885 E Charleston Blvd,Las Vegas,NV,3.5,5,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0.0,Null,Null,Null,Null,Null,Null,Null,0.0,Null,Null,Null,Null,Null,Null,Null
Pho Saigon,PHO SAIGON - DELETED,Restaurant,6820 SPRING MOUNTAIN,Las Vegas,Nevada,89146.0,54,90.0,125.0,95.0,90.33333333333331,A,A,03icrim6SfEQJlejDMbzsA,Chinatown,"6820 Spring Mountain Rd, Ste C111",Las Vegas,NV,4.0,108,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,0.0,Null,Null,Null,0.0,Null,Null,1.0,2.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,1,1.0,1.0,1.0,Null,1.0,1.0
McDonald's,MCDONALDS,Restaurant,4135 S GRAND CANYON,Las Vegas,Nevada,89147.0,22,30.0,39.0,95.0,94.0909090909091,A,A,4s_kb5VXnx96fEJLZ_AkIQ,Spring Valley,4135 S Grand Canyon Dr,Las Vegas,NV,3.5,25,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,0.0,Null,0.0,Null,Null,Null,Null,1.0,Null,1.0,3.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,Null,1.0
McDonald's,MCDONALDS,Restaurant,4135 S GRAND CANYON,Las Vegas,Nevada,89147.0,22,30.0,39.0,95.0,94.0909090909091,A,A,T6VKCBhHojQkCWp_IYO24w,Spring Valley,9415 W Tropicana,Las Vegas,NV,2.0,40,Null,Null,0.0,0.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,0.0,Null,Null,Null,Null,1.0,Null,1.0,3.0,Null,Null,1.0,Null,Null,Null,0.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,Null,1.0
Pad Thai Restaurant,Pad Thai Restaurant,Restaurant,860 S Rancho Dr,Las Vegas,Nevada,89106.0,14,0.0,33.0,95.0,85.0,A,B,QCe_OTC_9Vf5-oQuflQH7Q,,"860 S Rancho Dr, Ste 2",Las Vegas,NV,3.0,87,Null,Null,0.0,0.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,1.0,Null,Null,1.0,Null,0.0,Null,0.0,0.0,Null,1.0,1.0,1,0.0,1.0,1.0,Null,Null,0.0
Pad Thai Restaurant,Pad Thai Restaurant,Restaurant,850 S Rancho Dr,Las Vegas,Nevada,89106.0,136,28.0,262.0,94.23076923076924,82.30769230769229,A,B,QCe_OTC_9Vf5-oQuflQH7Q,,"860 S Rancho Dr, Ste 2",Las Vegas,NV,3.0,87,Null,Null,0.0,0.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,1.0,Null,Null,1.0,Null,0.0,Null,0.0,0.0,Null,1.0,1.0,1,0.0,1.0,1.0,Null,Null,0.0
Heaven's Cookie & Creations,HEAVEN'S COOKIE & CREATIONS,Bakery Sales,3370 S Hualapai Way 145,Las Vegas,Nevada,89117.0,2,4.0,4.0,95.0,95.0,A,A,wPxrC9l4c4IGgLVancQzgA,South Summerlin,"3370 S Hualapai Way, Ste 145",Las Vegas,NV,4.0,5,Null,Null,Null,Null,Null,Null,Null,Null,Null,1.0,1.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,Null,Null,1.0,Null
Rosati's Pizza,Rosati's Pizza,Restaurant,430 E Silverado Ranch Blvd 110,Las Vegas,Nevada,89123.0,50,69.0,97.0,95.0,92.27272727272728,A,A,9wNrqTeoEepFSbFu4QLuUQ,Southeast,"7380 S Eastern Ave, Ste 110",Las Vegas,NV,3.5,61,Null,Null,1.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,Null,Null,Null,Null,Null,Null,Null,1.0,2.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,1.0,1.0,2,0.0,1.0,1.0,Null,Null,1.0
Diamond Cabaret,Diamond Cabaret,Snack Bar,3177 S Highland Dr,Las Vegas,Nevada,89109.0,24,9.0,45.0,95.0,95.0,A,A,mF5L7qVH829Ow68Lz8PMNg,,3177 S Highland Dr,Las Vegas,NV,1.5,21,Null,Null,0.0,1.0,Null,Null,3.0,1.0,Null,1.0,1.0,Null,Null,1.0,Null,Null,Null,Null,1.0,Null,Null,Null,0.0,1.0,1.0,1.0,Null,0.0,Null,Null,Null,1.0,4,Null,Null,Null,1.0,1.0,Null
Mimi's Cafe,Mimi's Cafe,Restaurant,1121 S Fort Apache Rd,Las Vegas,Nevada,89117.0,42,8.0,109.0,95.0,92.69230769230771,A,A,3FlWR_osNPb8dcqLgHebHw,Westside,1121 S Fort Apache,Las Vegas,NV,3.0,252,Null,Null,1.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,3.0,Null,Null,0.0,Null,1.0,Null,1.0,0.0,Null,0.0,1.0,2,1.0,1.0,1.0,Null,1.0,0.0
Greek American Grille,Greek American Grille,Restaurant,4860 W Flamingo Rd,Las Vegas,Nevada,89103.0,3,20.0,20.0,95.0,95.0,A,A,UiBRXZKRV9EpU9EpERZIFw,,4860 W Flamingo Rd,Las Vegas,NV,4.0,19,Null,Null,0.0,1.0,Null,Null,Null,Null,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,2.0,Null,Null,0.0,Null,1.0,Null,1.0,0.0,Null,1.0,1.0,1,0.0,0.0,1.0,Null,1.0,Null
L & L Hawaiian Barbecue,L & L Hawaiian Barbecue,Restaurant,10860 W Charleston Blvd,Las Vegas,Nevada,89135.0,130,198.0,310.0,95.0,88.07692307692308,A,B,8L_eeOwZryvlUEO42Zq8nQ,Summerlin,"10860 W Charleston Blvd, Ste 180",Las Vegas,NV,3.5,115,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,0.0,Null,Null,1.0,2.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,1.0,0.0
Joe's Crab Shack,Joe's Crab Shack,Restaurant,4250 E Sunset Rd,Henderson,Nevada,89014.0,56,108.0,97.0,95.0,91.66666666666669,A,A,hPtLBHnfTjIefcnwZh48jA,Eastside,4402 N University Dr,Las Vegas,NV,3.5,31,Null,Null,2.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,Null,Null,Null,Null,Null,Null,Null,1.0,2.0,Null,Null,1.0,Null,2.0,Null,1.0,0.0,Null,0.0,1.0,2,1.0,1.0,1.0,Null,1.0,0.0
El Triunfo Restaurant,El Triunfo Restaurant,Restaurant,4450 E Charleston Blvd,Las Vegas,Nevada,89104.0,106,165.0,333.0,95.0,87.0,A,B,DX690eOaqO7CK2Qr6__rMQ,Sunrise,"4450 E Charleston Blvd, Ste 3",Las Vegas,NV,4.0,9,Null,Null,1.0,0.0,Null,Null,Null,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,1.0,0.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,2,0.0,Null,1.0,Null,Null,Null
Angelina's Italian Grill,Angelina's Italian Grill,Restaurant,5611 S Valley View Blvd 100,Las Vegas,Nevada,89118.0,11,32.0,41.0,95.0,92.5,A,A,t8w-NFL8B9E2IdOqj5MQng,,"5611 S Valley View, Ste 100",Las Vegas,NV,4.0,4,Null,Null,Null,0.0,Null,Null,Null,Null,Null,1.0,0.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,0.0,Null,Null,Null,Null,Null,Null,1.0,0.0,Null,1.0,Null,1,Null,1.0,1.0,Null,Null,0.0
Elevation Burger,Elevation Burger,Restaurant,5130 S Fort Apache 240,Las Vegas,Nevada,89148.0,1,3.0,3.0,95.0,95.0,A,A,_7kVnn5_19ckuFPS9PCrpQ,Spring Valley,"5130 S Fort Apache Rd, Ste 240",Las Vegas,NV,3.5,85,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,0.0,Null,Null,Null,Null,0.0,Null,1.0,2.0,Null,Null,0.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,Null,1.0
Krung Thai Restaurant,Krung Thai Restaurant,Restaurant,4130 S Decatur Blvd,Las Vegas,Nevada,89103.0,39,3.0,55.0,95.0,86.25,A,B,3ZHyw0d8mk0HOEP7v4fW1A,,4130 S Decatur Blvd,Las Vegas,NV,4.0,220,Null,Null,1.0,1.0,Null,2.0,Null,1.0,Null,1.0,1.0,Null,1.0,Null,1.0,Null,Null,Null,Null,1.0,2.0,Null,Null,1.0,Null,0.0,Null,0.0,0.0,Null,1.0,1.0,2,1.0,1.0,1.0,Null,1.0,1.0
Burger King,Travel Center,Restaurant,8050 Dean Martin Dr,Las Vegas,Nevada,89139.0,46,58.0,96.0,95.0,88.33333333333331,A,B,XBIaV-NJ-OxyAd_rsiBr2A,Southwest,8050 Dean Martin Blvd,Las Vegas,NV,1.5,10,Null,Null,Null,0.0,Null,Null,Null,Null,Null,1.0,Null,Null,0.0,Null,Null,Null,Null,0.0,Null,1.0,0.0,Null,Null,0.0,Null,Null,Null,Null,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,Null,Null
Lakes Lounge,Lakes Lounge,Bar / Tavern,2920 Lake East Dr,Las Vegas,Nevada,89117.0,19,6.0,26.0,95.0,95.0,A,A,gBy6UXTpoSHhW6qd15XU0g,The Lakes,2920 Lake East Dr,Las Vegas,NV,4.0,200,Null,Null,2.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,4.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,1,0.0,1.0,1.0,Null,1.0,0.0
Lee's Sandwiches,CTR@SPR MTN-Lee's Sandwiches,Restaurant,3989 Spring Mountain Rd,Las Vegas,Nevada,89102.0,57,78.0,147.0,95.0,90.3846153846154,A,A,qkyCuFJF2Uboh6n2Lmuwlg,Chinatown,3989 Spring Mountain Rd,Las Vegas,NV,3.0,687,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,2.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,Null,1.0
Lee's Sandwiches,LEE'S SANDWICHES,Restaurant,3989 Spring Mountain Rd,Las Vegas,Nevada,89102.0,2,0.0,0.0,95.0,95.0,A,A,qkyCuFJF2Uboh6n2Lmuwlg,Chinatown,3989 Spring Mountain Rd,Las Vegas,NV,3.0,687,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,2.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,Null,1.0
Port of Subs,PORT OF SUBS #84,Restaurant,1306 W Craig Rd,North Las Vegas,Nevada,89032.0,31,33.0,46.0,95.0,89.54545454545455,A,B,izvmwI3kSYIt-a6vA4gUMw,,"1306 W Craig Rd, #K",Las Vegas,NV,3.0,19,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,1.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,1.0,1.0,1,0.0,0.0,1.0,Null,Null,0.0
Golden Spoon Frozen Yogurt,Golden Spoon Frozen Yogurt,Snack Bar,7170 N Durango Dr,Las Vegas,Nevada,89149.0,27,0.0,59.0,95.0,94.16666666666669,A,A,HbN0Qx_4QnzPcVNZy9PUVA,Centennial,"7170 N Durango Dr, Ste 130",Las Vegas,NV,3.5,44,Null,Null,Null,Null,Null,Null,Null,1.0,Null,1.0,1.0,Null,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,1.0,Null,1.0,0.0
Winchell's Donut House,Winchell Donut House,Restaurant,3307 S Jones Blvd,Las Vegas,Nevada,89146.0,90,144.0,185.0,95.0,89.73684210526315,A,B,QcdKTLeP3J5Ki-fVcPZkfA,Westside,3307 S Jones,Las Vegas,NV,4.0,45,Null,Null,2.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,1.0,Null,Null,0.0,Null,0.0,Null,0.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,Null,0.0
Papa Murphy's,PAPA MURPHY'S TAKE N BAKE PIZZA,Restaurant,4900 W Craig Rd 4,Las Vegas,Nevada,89130.0,32,54.0,61.0,95.0,88.0,A,B,OwL4BM7GchsxBXxWrkmmqw,Northwest,"4900 West Craig Road, Suite 4",Las Vegas,NV,3.0,22,Null,Null,0.0,1.0,Null,Null,Null,0.0,Null,1.0,0.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,0.0,Null,Null,0.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,Null,0.0
Round Table Pizza,Round Table Pizza,Restaurant,9350 W Sahara Ave,Las Vegas,Nevada,89117.0,42,54.0,100.0,95.0,78.8888888888889,A,C,24f5ie972m_bYpirVW-dZA,Westside,9350 W Sahara Ave,Las Vegas,NV,3.5,10,Null,Null,1.0,0.0,Null,Null,Null,Null,Null,1.0,0.0,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,1.0,Null,Null,1.0,Null,2.0,Null,0.0,0.0,Null,1.0,1.0,2,0.0,0.0,1.0,Null,1.0,Null
Chinatown Cuisine,Chinatown Cuisine,Restaurant,2000 E Charleston Blvd,Las Vegas,Nevada,89104.0,94,84.0,244.0,95.0,85.0,A,B,i5vy3X8WBjQ-F7P8HqC7KA,Downtown,2000 E Charleston Blvd,Las Vegas,NV,4.5,5,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0.0,Null,1.0,Null,Null,Null,Null,Null,1.0,1,0.0,1.0,1.0,Null,Null,0.0
Del Mar Deli,South Point Hotel - Del Mar Deli,Restaurant,9777 Las Vegas Blvd,Las Vegas,Nevada,89183.0,26,64.0,77.0,95.0,94.0,A,A,sUMi2q41l4AzOsmJMRY8zQ,Southeast,9777 Las Vegas Blvd S,Las Vegas,NV,3.5,133,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,3.0,Null,Null,1.0,Null,2.0,Null,0.0,0.0,Null,0.0,1.0,2,0.0,0.0,1.0,Null,1.0,1.0
Teriyaki Madness,Teriyaki Madness,Restaurant,7481 W Lake Mead Blvd,Las Vegas,Nevada,89128.0,57,55.0,193.0,95.0,91.11111111111113,A,A,WSGHEQdcdbBWXDpna99EiQ,,7481 West Lake Mead,Las Vegas,NV,3.5,119,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,0.0,Null,Null,Null,0.0,Null,Null,1.0,1.0,Null,Null,1.0,Null,1.0,Null,1.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,1.0,1.0
Tropical Smoothie Cafe,Tropical Smoothie Cafe,Restaurant,6350 W Charleston Blvd,Las Vegas,Nevada,89146.0,37,94.0,84.0,95.0,86.25,A,B,wqFkAsxYPA5tcdSkYMtrrw,Westside,"6350 W Charleston Blvd, Ste 130",Las Vegas,NV,2.5,67,Null,Null,0.0,1.0,Null,Null,Null,1.0,Null,1.0,1.0,Null,0.0,Null,Null,Null,Null,Null,Null,1.0,3.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,Null,1.0
Baja Fresh,Baja Fresh,Restaurant,4343 N Rancho Dr,Las Vegas,Nevada,89130.0,121,132.0,245.0,95.0,86.81818181818181,A,B,f5sSn5cO4t6mF_mdnzKkyA,Northwest,4343 N Rancho Dr,Las Vegas,NV,2.5,29,Null,Null,0.0,0.0,Null,Null,Null,1.0,Null,1.0,0.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,1.0,Null,Null,0.0,Null,Null,Null,0.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,1.0,0.0
Roberto's Taco Shop,Roberto's Taco Shop,Restaurant,8580 W Lake Mead Blvd,Las Vegas,Nevada,89128.0,53,6.0,122.0,95.0,87.94117647058823,A,B,6-lmL3sC-axuh8y1SPSiqg,Summerlin,8580 W Lake Mead Blvd,Las Vegas,NV,3.5,75,Null,Null,0.0,1.0,Null,Null,Null,0.0,Null,1.0,1.0,Null,0.0,Null,Null,Null,Null,0.0,Null,1.0,3.0,Null,Null,1.0,Null,1.0,Null,0.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,Null,0.0
Cookie Bouquets,Cookie Bouquets,Caterer,5643 W Charleston Blvd,Las Vegas,Nevada,89146.0,3,6.0,6.0,95.0,95.0,A,A,D0lM6bi-sovThoQdRVGgGg,Westside,"5643 W Charleston Blvd, Ste 11",Las Vegas,NV,3.5,3,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Northside Nathan's,Northside Nathan's,Restaurant,9320 W Flamingo Rd,Las Vegas,Nevada,89147.0,14,48.0,36.0,95.0,95.0,A,A,GdE5ZF7XMDyjwBVB_5qszA,Spring Valley,9320 W Flamingo Rd,Las Vegas,NV,4.0,27,Null,Null,0.0,1.0,Null,Null,Null,Null,Null,1.0,1.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,1.0,Null,Null,1.0,Null,1.0,Null,1.0,0.0,Null,1.0,1.0,2,0.0,0.0,1.0,Null,1.0,1.0
Roberto's Taco Shop,Roberto's Taco Shop,Restaurant,4430 E Washington Ave,Las Vegas,Nevada,89110.0,57,70.0,138.0,95.0,92.22222222222223,A,A,2nEhcvxBZk2W4x_fi0cYxw,Sunrise,4330 E Washington Ave,Las Vegas,NV,2.5,13,Null,Null,0.0,0.0,Null,Null,Null,1.0,Null,1.0,0.0,Null,0.0,Null,Null,Null,Null,1.0,Null,1.0,1.0,Null,Null,0.0,Null,1.0,Null,0.0,0.0,1.0,0.0,1.0,1,0.0,0.0,1.0,Null,Null,0.0
Roberto's Taco Shop,Roberto's Taco Shop,Restaurant,4430 E Washington Ave,Las Vegas,Nevada,89110.0,57,70.0,138.0,95.0,92.22222222222223,A,A,Rgmy8WQEaBMCd4BMdl0SIQ,Sunrise,4330 E Washington Ave,Las Vegas,NV,2.0,5,Null,Null,Null,Null,Null,Null,Null,Null,Null,1.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,1.0,0.0,Null,Null,Null,Null,Null,Null,Null,0.0,Null,0.0,1.0,1,0.0,Null,1.0,Null,Null,Null
Roberto's Taco Shop,Roberto's Taco Shop,Restaurant,4430 E Washington Ave,Las Vegas,Nevada,89110.0,57,70.0,138.0,95.0,92.22222222222223,A,A,LA9j7bDQLkDmLspdHwL3Bg,Sunrise,"241 N Nellis Blvd, Ste 101",Las Vegas,NV,4.0,16,Null,Null,0.0,0.0,Null,Null,Null,1.0,Null,1.0,0.0,Null,1.0,Null,Null,Null,Null,Null,Null,1.0,0.0,Null,Null,0.0,Null,Null,Null,0.0,0.0,Null,0.0,1.0,1,0.0,0.0,1.0,Null,Null,0.0
