zip_code,violations,rating,drive_thru,good_for_kids,good_for_meal,noise_level,restaurants_table_service,accepts_apple_pay,waiter_service,inspection_grade
89169,50,3.5,-1,1,0,0,1,-1,-1,B
89103,91,3.5,-1,1,1,0,1,-1,-1,B
89129,38,3.0,-1,1,2,0,0,-1,-1,A
89117,36,3.5,-1,1,1,1,1,0,1,A
89117,34,4.5,-1,1,-1,1,-1,0,-1,B
89104,64,4.0,-1,1,2,1,1,-1,-1,B
89131,10,3.5,-1,1,2,0,0,-1,-1,A
89130,31,3.0,-1,1,2,0,1,0,1,A
89117,40,4.0,-1,1,1,0,1,-1,-1,A
89117,28,3.5,0,1,-1,0,-1,-1,-1,A
89146,112,4.0,-1,1,2,0,1,0,1,B
89142,42,4.0,-1,1,2,1,0,0,-1,B
89123,57,4.0,-1,1,2,1,1,-1,-1,B
89104,34,3.0,-1,1,2,1,1,0,1,A
89139,38,2.5,-1,1,3,1,0,-1,0,B
89102,121,3.0,1,1,2,1,1,0,-1,B
89130,62,2.5,1,1,2,1,0,0,-1,B
89130,62,2.5,1,1,1,1,0,-1,-1,B
89146,47,4.0,-1,1,2,1,1,0,1,B
89131,48,4.0,0,1,4,0,1,1,1,A
89119,103,1.5,-1,1,1,0,1,-1,-1,C
89101,99,2.0,-1,1,2,0,1,-1,-1,B
89147,94,2.0,0,0,2,1,0,-1,-1,B
89110,107,3.5,-1,1,1,1,0,0,0,B
89131,4,3.0,-1,1,-1,1,0,-1,-1,A
89113,32,2.5,1,1,4,1,0,-1,0,A
89113,32,2.5,1,1,5,3,0,-1,-1,A
89108,90,3.0,-1,1,3,1,1,0,1,A
89120,42,4.5,-1,1,3,1,0,1,-1,A
89121,78,4.0,-1,1,0,0,1,-1,-1,A
89141,67,4.0,0,1,1,1,1,0,-1,B
89119,85,3.0,0,1,4,1,0,0,-1,A
89119,85,3.5,0,1,3,1,0,0,0,A
89120,119,3.5,-1,1,2,1,1,0,1,B
89113,47,4.5,-1,1,2,1,1,0,1,A
89108,138,4.0,-1,1,2,0,1,0,1,A
89146,2,1.5,1,1,0,3,0,1,-1,A
89145,64,3.5,-1,1,0,1,-1,-1,-1,A
89115,56,3.0,-1,-1,-1,1,-1,-1,-1,A
89123,76,4.0,0,1,2,1,1,0,-1,B
89130,65,2.5,0,1,2,2,0,0,0,A
89108,63,3.0,-1,1,2,1,1,0,1,A
89119,43,3.5,-1,1,1,1,0,0,0,A
89139,17,4.5,-1,1,-1,1,-1,0,-1,A
89169,96,3.0,0,1,4,1,0,0,-1,A
89169,96,3.0,0,1,3,1,0,0,0,A
89169,96,3.5,-1,1,-1,1,0,-1,-1,A
89103,83,4.0,-1,1,2,1,1,0,1,B
89146,78,3.5,-1,1,-1,2,-1,0,-1,B
89113,18,4.0,0,1,2,1,1,0,1,A
89113,18,4.0,-1,1,1,0,0,0,1,A
89134,14,3.0,-1,1,1,1,0,-1,-1,A
89146,37,3.5,-1,-1,-1,-1,-1,-1,-1,B
89119,15,3.5,-1,1,1,1,0,-1,-1,A
89110,43,4.0,-1,1,3,0,0,0,-1,A
89149,46,4.0,-1,1,2,1,0,0,0,A
89101,44,3.0,-1,1,4,1,1,0,1,B
89147,41,3.5,0,1,2,1,0,1,-1,A
89106,47,3.0,-1,1,-1,2,-1,-1,-1,B
89101,50,3.0,0,0,2,1,1,0,-1,B
89117,61,4.0,-1,1,2,1,1,0,-1,B
