RestaurantName,LocationName,CategoryName,Address,City,State,Zip,CurrentGrade
ARIA LEMONGRASS RESTAURANT,CITY CENTER HOTELS,Restaurant,3730 S Las Vegas Blvd,Las Vegas,Nevada,89109,A
Aliante The Salted Lime Bar,Aliante Hotel & Casino,Bar / Tavern,7300 Aliante Pkwy,North Las Vegas,Nevada,89084,A
Auntie Anne's Pretzels Sru,"Dough Knot, LLC",Portable Unit,2000 Las Vegas Blvd,Las Vegas,Nevada,89104-2507,A
"BAR @ TROPICANA & DURANGO, THE BAR","BAR @ TROPICANA & DURANGO, THE",Bar / Tavern,4705 S Durango Dr,Las Vegas,Nevada,89147-8155,A
BELLAGIO NORTH CASINO SVC BAR 1,BELLAGIO HOTEL & CASINO,Bar / Tavern,3600 S Las Vegas Blvd,Las Vegas,Nevada,89109-4303,A
BELLAGIO SNACKS PREP AREA,BELLAGIO HOTEL & CASINO,Special Kitchen,3600 S Las Vegas Blvd,Las Vegas,Nevada,89109-4303,A
BIG B'S TEXAS BBQ,BIG B'S TEXAS BBQ,Barbeque,3019 SAINT ROSE Pkwy 130,Henderson,Nevada,89052,A
BLIZZ BAR,BLIZZ FROZEN YOGURT @ MGM,Bar / Tavern,3799 S Las Vegas Blvd,Las Vegas,Nevada,89109,A
BREAKIN' THE ICE MOBILE,BREAKIN THE ICE MOBILE,Food Trucks / Mobile Vendor,439 ROCK QUARRY Way,North Las Vegas,Nevada,89032,A
Bentley's Coffee,Bentleys Coffee,Restaurant,1501 W Charleston Blvd,Las Vegas,Nevada,89102-2301,B
Buffalo Wild Wings Bar #177,Buffalo Wild Wings Grill & Bar,Bar / Tavern,7345 S Durango Dr,Las Vegas,Nevada,89113-3608,A
CAESARS DIAMOND LOUNGE BUFFET,CAESARS PALACE HOTEL & CASINO,Buffet,3570 S Las Vegas Blvd,Las Vegas,Nevada,89109-8924,A
CAPRIOTTI'S SANDWICH SHOP,CAPRIOTTI'S SANDWICH SHOP,Restaurant,9210 S EASTERN Ave 115,Las Vegas,Nevada,89123,A
CARSON KITCHEN,CARSON KITCHEN AND BAR,Restaurant,124 S 6TH St 100,Las Vegas,Nevada,89101,A
CENTERPLATE BOH WAREWASHING,CENTERPLATE @ CONVENTION CENTER,Special Kitchen,3150 PARADISE Rd,Las Vegas,Nevada,89109,A
CHINA HOUSE PREP/STORAGE,Palms Casino Resort,Special Kitchen,4321 W Flamingo Rd,Las Vegas,Nevada,89103-3903,A
COSMO COMME CA BAR P3,COSMOPOLITAN RESORT & CASINO,Bar / Tavern,3708 S Las Vegas Blvd,Las Vegas,Nevada,89109-4312,A
COSMO EDR B1 COOKLINE,COSMOPOLITAN RESORT & CASINO,Special Kitchen,3708 S Las Vegas Blvd,Las Vegas,Nevada,89109-4312,A
CRAZY HORSE TOO MAIN BAR,CRAZY HORSE TOO,Bar / Tavern,2476 INDUSTRIAL Rd,Las Vegas,Nevada,89102,A
CRUSH BAR #2,CRUSH @ MGM,Bar / Tavern,3799 S LAS VEGAS Blvd,Las Vegas,Nevada,89109,A
Canyon Gate Country Club Din / Kitchen,Canyon Gate Country Club,Restaurant,2001 Canyon Gate Dr,Las Vegas,Nevada,89117-5846,A
Carefree Catering Mobile #31,Carefree Catering,Food Trucks / Mobile Vendor,439 Rock Quarry Way,North Las Vegas,Nevada,89032-7895,A
Citibank Kitchen,Citibank,Childcare Kitchens,2720 Crystal Water Way,Las Vegas,Nevada,89117-1718,A
DAISY'S HIDEAWAY BAR #2,DAISY'S HIDEAWAY,Bar / Tavern,3369 Thom Blvd,Las Vegas,Nevada,89130-3105,A
DAL ITALIA,DAL ITALIA,Restaurant,4722 E Flamingo Rd 7,Las Vegas,Nevada,89121-4709,C
DB'S PONG & POOL BAR 2 DOWNSTAIRS,DB'S PONG AND POOL @ MIRACLE MILE,Bar / Tavern,3663 S LAS VEGAS Blvd 570,Las Vegas,Nevada,89109,A
DOTTY'S #40 SNACK BAR,DOTTY'S #40,Snack Bar,9185 S Jones Blvd,Las Vegas,Nevada,89139-7308,A
DOTTY'S #9 LOUNGE,DOTTY'S #9,Bar / Tavern,2300 S Maryland Pkwy,Las Vegas,Nevada,89104-3216,A
Domino's Pizza #7469,Domino's Pizza,Restaurant,5124 Camino Al Norte,North Las Vegas,Nevada,89031-2372,A
EL POLLO LOCO #6095,EL POLLO LOCO #6095,Restaurant,7310 S RAINBOW Blvd,Las Vegas,Nevada,89111,A
EL TACONTENTO RESTAURANT #2,EL TACONTENTO RESTAURANT #2,Restaurant,6101 VEGAS,Las Vegas,Nevada,89108,A
Ethel's Chocolate - Retail,Ethel M Chocolate,Confection,2 Cactus Garden Dr,Henderson,Nevada,89014,A
FABRIZIO BANQUET HALL,FABRIZIO BANQUET HALL,Banquet Kitchen,818 S MAIN,Las Vegas,Nevada,89101,A
FANTASTIK DINER,FANTASTIK DINER,Restaurant,1717 S DECATUR Blvd B-05,Las Vegas,Nevada,89139,A
GOGO POKE @ FASHION SHOW MALL,GOGO POKE @ FASHION SHOW MALL,Restaurant,3200 S LAS VEGAS 1850,Las Vegas,Nevada,89109,A
GORDON BIERSCH SERVICE BAR,GORDON BIERSCH BREWERY @ HOWARD HUGHES PARKWAY,Bar / Tavern,3987 S Paradise Rd,Las Vegas,Nevada,89169-4607,A
Golden West Casino Restaurant,Golden West Casino Rest & Bar,Restaurant,91 E Mesquite Blvd,Mesquite,Nevada,89027-4782,A
Golf Club at Southshore Restaurant,Golf Club at Southshore,Restaurant,100 Strada Di Circolo,Henderson,Nevada,89011-2606,A
HAPPY KIDS ICE CREAM TRUCK #2,HAPPY KIDS ICE CREAM,Food Trucks / Mobile Vendor,2850 E Charleston Blvd,Las Vegas,Nevada,89104-2307,A
HARD ROCK ROOM SVC PANTRY,HARD ROCK HOTEL & CASINO LAS VEGAS,Pantry,4455 S Paradise Rd,Las Vegas,Nevada,89169-6574,A
HARRAHS PIANO PORTABLE BAR,HARRAHS LV HOTEL & CASINO,Portable Unit,3475 S Las Vegas Blvd,Las Vegas,Nevada,89109-8922,A
Henderson Center - Kitchen,Henderson Center,Childcare Kitchens,180 Westminster Way,Henderson,Nevada,89015-6120,A
Honey Salt - Restaurant,RAMPART RESTAURANT,Restaurant,1031 S RAMPART Blvd,Las Vegas,Nevada,89145,A
In N Out Burger #81,in N Out Burger #81,Restaurant,51 N Nellis Blvd,Las Vegas,Nevada,89110-5330,A
International Kitchen Mobile #3,International Kitchen Mobile,Food Trucks / Mobile Vendor,58 N 30Th St,Las Vegas,Nevada,89101-4909,B
KRAVE CAFE BAR  DELETE 11 20 12,KRAVE @ MIRACLE MILE,Bar / Tavern,3663 S Las Vegas Blvd 600,Las Vegas,Nevada,89109-1920,A
Kid's Choice Ice Cream,Kid's Choice Ice Cream,Food Trucks / Mobile Vendor,6947 Pinebrook Ct,Las Vegas,Nevada,89147-4545,A
Kid's Choice Ice Cream #2,Kid's Choice Ice Cream,Food Trucks / Mobile Vendor,6947 Pinebrook Ct,Las Vegas,Nevada,89147-4545,A
LA HACIENDA NIGHT CLUB - RESTAURANT,LA HACIENDA NIGHT CLUB & RESTAURANT BAR,Restaurant,2015 DALEY St,North Las Vegas,Nevada,89030,A
LA VILLITA #114 BAR,DOTTY'S #114,Bar / Tavern,2542 N LAS VEGAS,North Las Vegas,Nevada,89030,A
LETICIA'S COCINA,LETICIA'S COCINA,Restaurant,430 S RAMPART Blvd 110,Las Vegas,Nevada,89145,A
LINQ WHEEL HIGH ROLLER PORT BAR 3,LINQ WHEEL HIGH ROLLER,Portable Unit,3545 S LAS VEGAS,Las Vegas,Nevada,89109,A
LIZETTE'S FOOD SERVICE MOBILE,ALEX FOOD CATERING MOBILE,Food Trucks / Mobile Vendor,4181 W PIONEER Ave,Las Vegas,Nevada,89102,A
Lindo Michoacan Bar,Lindo Michoacan,Bar / Tavern,2655 E Desert Inn Rd,Las Vegas,Nevada,89121-3618,A
MARRIOTT GRAND CHATEAU BAR,MARRIOTTS GRAND CHATEAU,Bar / Tavern,75 E Harmon Ave,Las Vegas,Nevada,89109,A
MB SEABREEZE CAFE SERVICE BAR,MANDALAY BAY HOTEL & CASINO,Bar / Tavern,3950 S Las Vegas Blvd,Las Vegas,Nevada,89119-1005,A
MGM AVENUE HOT KITCHEN,MGM GRAND HOTEL & CASINO,Special Kitchen,3799 S Las Vegas Blvd,Las Vegas,Nevada,89109-4319,A
Main Street Station Casino Bar,Main Street Station,Bar / Tavern,200 N Main St,Las Vegas,Nevada,89101-2910,A
Mama Depalma's Pizzeria,Mama Depalma's Pizzeria,Restaurant,9845 S Maryland Pkwy,Las Vegas,Nevada,89183-7162,A
Mezze International Foods,Mezze International Foods,Caterer,6601 N Buffalo Dr 130,Las Vegas,Nevada,89131,A
Michoacan Gourmet Mexican Restaurant - Bar,Michoacan Gourmet Mexican Restaurant,Bar / Tavern,7870 W Tropical Pkwy,Las Vegas,Nevada,89149-4568,A
Mugshots Eatery,Mugshots Eatery & Casino,Restaurant,1120 N Boulder Hwy,Henderson,Nevada,89011-5378,A
NY NY NINE FINE IRISHMEN OUTSIDE BAR,NEW YORK NEW YORK HOTEL & CASINO,Bar / Tavern,3790 S Las Vegas Blvd,Las Vegas,Nevada,89109-4338,A
Naga,Naga,Restaurant,76 W Horizon Ridge Pkwy 150,Henderson,Nevada,89012-5326,A
OMNIA MAIN BAR,OMNIA @ CAESARS,Bar / Tavern,3570 S Las Vegas Blvd,Las Vegas,Nevada,89109-8924,A
Original Pancake House Kitchen,Aliante Station Casino,Special Kitchen,7300 Aliante Pkwy,North Las Vegas,Nevada,89084-2502,A
PANDA EXPRESS,SHOPS AT SUMMERLIN - PANDA EXPRESS,Restaurant,10990 LAVENDER HILLS Dr 8B3,Las Vegas,Nevada,89135,A
PARIS MARTORANOS BAR,PARIS HOTEL & CASINO,Bar / Tavern,3655 S Las Vegas Blvd,Las Vegas,Nevada,89109-4345,A
PARIS PANTRY 1 REF STORAGE/DRY STORAGE,PARIS HOTEL & CASINO,Pantry,3655 S Las Vegas Blvd,Las Vegas,Nevada,89109-4345,A
PERIDOT SWEETS,PERIDOT SWEETS,Restaurant,6475 S RAINBOW 100,Las Vegas,Nevada,89118,A
PH GORDON RAMSAY BURGR BAR,PLANET HOLLYWOOD RESORT AND CASINO,Bar / Tavern,3667 S Las Vegas Blvd,Las Vegas,Nevada,89109-4331,A
PHO LAS VEGAS.COM,PHO LAS VEGAS.COM,Restaurant,5600 SPRING MOUNTAIN Rd E,Las Vegas,Nevada,89146,A
PIZZA FUSION,PIZZA FUSION CANCELLED,Restaurant,10345 S EASTERN Ave 110,Henderson,Nevada,89052,A
PIZZERIA DA ENZO,ZEFFIRINO / PIZZARIA DE ENZO @ VENETIAN,Restaurant,3355 S Las Vegas Blvd,Las Vegas,Nevada,89109-8941,A
PLATINUM HOTEL STAGING PANTRY 2,PLATINUM HOTEL & SPA,Pantry,211 E Flamingo Rd,Las Vegas,Nevada,89169-4708,A
Palace Station Casino Service Bar #2,Palace Station,Bar / Tavern,2411 W Sahara Ave,Las Vegas,Nevada,89102-4343,A
Palms Banquet Service Area,Palms Casino Resort,Pantry,4321 W Flamingo Rd,Las Vegas,Nevada,89103-3903,A
Quizno's Subs,Quizno's Subs,Restaurant,5775 S Rainbow Blvd #100,Las Vegas,Nevada,89118-2530,A
RAMIREZ PRODUCE SEASONAL (1/14/13 - 9/14/13) - BROADACRES,COCO TIME,Portable Unit,2930 N Las Vegas Blvd,North Las Vegas,Nevada,89030,A
RHUMBAR ON SITE PORTABLE,RHUMBAR @ MIRAGE,Portable Unit,3400 S Las Vegas Blvd,Las Vegas,Nevada,89109-8923,A
RIO CARNIVAL BUFFET SERV STATION 1 - 2 - 3,RIO SUITES HOTEL,Bar / Tavern,3700 W Flamingo Rd,Las Vegas,Nevada,89103-4043,A
RIO IPANEMA STARBUCKS,RIO SUITES HOTEL,Snack Bar,3700 W Flamingo Rd,Las Vegas,Nevada,89103-4043,A
RIVIERA GARDE MANGER,RIVIERA HOTEL & CASINO,Garde Manger,2901 S Las Vegas Blvd,Las Vegas,Nevada,89109-1933,A
ROUND TABLE PIZZA,HGP LAKE MEAD LLC,Restaurant,7460 W Lake Mead Blvd 108,Las Vegas,Nevada,89128-0296,A
RTJ ICE CREAM,RTJ ICE CREAM,Food Trucks / Mobile Vendor,439 ROCK QUARRY Wy,North Las Vegas,Nevada,89032,A
Red Rock Japanese Restaurant,RED ROCK CASINO RESORT & SPA,Restaurant,11011 W Charleston Blvd,Las Vegas,Nevada,89135-1402,A
Roberto's Taco Shop,Roberto's Taco Shop,Restaurant,1220 E Harmon Ave,Las Vegas,Nevada,89119-5940,A
SAMMY'S WOODFIRED PIZZA GAMING BAR,SAMMY'S WOODFIRED PIZZA & GRILL,Bar / Tavern,1501 N GREEN VALLEY Pkwy,Henderson,Nevada,89074,A
SASSY SALSAS MADE WITH LOVE FMHR,SASSY SALSAS MADE WITH LOVE,Farmer's Market,2025 E SAHARA,Las Vegas,Nevada,89104,A
SEATTLES BEST HAWAIIAN MARKETPLACE,SEATTLES BEST @ HAWAIIAN MARKETPLACE,Snack Bar,3743 S LAS VEGAS Blvd 122,Las Vegas,Nevada,89109,A
SPRING BAR @ TROPICANA EXPRESS BUFFET (2/5/14 - 10/5/14),Tropicana Laughlin Hotel & Casino,Portable Unit,2121 S Casino Dr,Laughlin,Nevada,89029-1519,A
STARBUCKS COFFEE #27848,STARBUCKS COFFEE #27848,Restaurant,3301 W SAHARA,Las Vegas,Nevada,89102,A
SUNCOAST ROOM SERVICE,DUPARS RESTAURANT AND BAKERY @ SUNCOAST,Restaurant,9090 W ALTA,Las Vegas,Nevada,89145,A
Shuck's Tavern Restaurant,Shuck's Tavern,Restaurant,9338 W Flamingo Rd,Las Vegas,Nevada,89147-6414,A
Silver Saddle Saloon - Main Bar,Silver Saddle Saloon,Bar / Tavern,2501 E Charleston Blvd,Las Vegas,Nevada,89104-2302,A
South Point Banquet Bar #2,South Point Hotel & Casino,Bar / Tavern,9777 Las Vegas Blvd,Las Vegas,Nevada,89183-4013,A
Starbucks Coffee #5998,Starbucks Coffee #5998,Restaurant,9770 S Maryland Pkwy,Las Vegas,Nevada,89183-7142,A
Steiner's Pub,Steiner's Pub,Bar / Tavern,1750 N Buffalo Dr,Las Vegas,Nevada,89128-2672,A
TACO NACO PUSF - DELETED 9/16 RS,TACO NACO,Portable Unit,2901 N RANCHO,Las Vegas,Nevada,89130,A
TEASON,TEASON,Snack Bar,1647 W WARM SPRINGS,Henderson,Nevada,89014,A
THE SMASHED PIG - RESTAURANT,THE SMASHED PIG,Restaurant,509 FREMONT,Las Vegas,Nevada,89101,A
TIME-OUT RESTAURANT,TIME-OUT SPORTS BAR & GRILL,Restaurant,6138 W CHARLESTON,Las Vegas,Nevada,89107,A
TOP SHELF WINE AND SPIRITS SNACK BAR,TOP SHELF WINE & SPIRITS,Snack Bar,6415 S FORT APACHE 100,Las Vegas,Nevada,89148,A
Texas Station Feast Buffet Chinese,Texas Station Gambling Hall & Hotel,Buffet,2101 N Texas Star Ln,North Las Vegas,Nevada,89032,A
Tony Roma's Ribs Bar,Tony Roma's,Bar / Tavern,2040 N Rainbow Blvd,Las Vegas,Nevada,89108-7049,A
Tuscany Grill Restaurant,Tuscany Grill,Restaurant,11105 S Eastern Ave,Henderson,Nevada,89052-4381,A
UNITED HEALTHCARE PURE CAFE,UNITED HEALTH GROUP,Restaurant,2716 TENAYA,Las Vegas,Nevada,89128,A
VIP CLUB RESTAURANT - Deleted 12.14.16 JB,VIP CLUB,Snack Bar,953 E SAHARA,Las Vegas,Nevada,89104,A
WEDGES SPORTS BAR RESTAURANT,WEDGIES SPORTS BAR,Restaurant,796 W PIONEER,Mesquite,Nevada,89027,A
WICKED WIENER,WICKED WIENER - MOBILE,Food Trucks / Mobile Vendor,4181 W PIONEER Ave,Las Vegas,Nevada,89102,A
WYNN SW STEAKHOUSE DESSERT KITCHEN,WYNN HOTEL & CASINO,Special Kitchen,3131 S Las Vegas Blvd,Las Vegas,Nevada,89109-1929,A
XX - Sahara Buffet DELETED,SLS LAS VEGAS,Buffet,2535 S LAS VEGAS Blvd,Las Vegas,Nevada,89109-1137,A
Z-MART,Z-MART,Snack Bar,1451 W OWENS,Las Vegas,Nevada,89106,A
2 AMIGOS TACOS MOBILE - DELETED,JESUS ALVAREZ,Food Trucks / Mobile Vendor,640 N EASTERN Ave,Las Vegas,Nevada,89101,A
3 Tomatoes & a Mozzarella Bar,3 Tomatoes & a Mozzarella,Bar / Tavern,6485 S Rainbow Blvd,Las Vegas,Nevada,89118-3225,A
50 SHADES OF GREEN MOBILE,UNICORN POOP/50 SHADES TASTIER/50 SHADES OF GREEN,Food Trucks / Mobile Vendor,4181 W PIONEER Ave,Las Vegas,Nevada,89102,A
7-Eleven #20826 - SNACK BAR,7-Eleven Food Store #20826,Snack Bar,1600 N Decatur Blvd,Las Vegas,Nevada,89108-2202,A
7-Eleven #27071 - Deli,7-Eleven Food Store #27071,Snack Bar,2003 N Jones Blvd,Las Vegas,Nevada,89108-3348,A
702 MART SNACK BAR,702 MART,Snack Bar,1468 E CHARLESTON,Las Vegas,Nevada,89104,A
ACELERO LEARNING CLARK COUNTY HEADSTART KITCHEN,ACELERO LEARNING CLARK COUNTY HEADSTART,Special Kitchen,4065 E POST,Las Vegas,Nevada,89120,A
ASIAN GARDEN,ASIAN GARDEN,Restaurant,560 N NELLIS Blvd E10,Las Vegas,Nevada,89147,A
AURELIO'S PIZZA,AURELIO'S PIZZA,Restaurant,6010 W CRAIG 150,Las Vegas,Nevada,89130,A
Albertsons #3021 Starbucks,Albertsons #3021,Snack Bar,10140 W Flamingo Rd,Las Vegas,Nevada,89147-8385,A
All Star Donuts #2,All Star Donuts #2,Restaurant,3650 E Flamingo Rd,Las Vegas,Nevada,89121-4934,A
BAN'S MARKET - ICE PACKAGING,BAN'S MARKET,Snack Bar,1701 N Boulder Hwy,Henderson,Nevada,89011-4123,A
BAR,BUNKHOUSE,Bar / Tavern,124 S 11TH St,Las Vegas,Nevada,89101,O
BELLAGIO PALIO CAFE,BELLAGIO HOTEL & CASINO,Bar / Tavern,3600 S Las Vegas Blvd,Las Vegas,Nevada,89109-4303,A
BIG DADDY'S PIZZA,BIG DADDY'S PIZZA,Restaurant,2775 S NELLIS,Las Vegas,Nevada,89121,A
BILLS HOT DOG CART - DELETED,"CROMWELL LAS VEGAS, THE",Portable Unit,3595 S Las Vegas Blvd,Las Vegas,Nevada,89109-8918,A
BLAZE FAST-FIRE'D PIZZA,BLAZE FAST-FIRE'D PIZZA,Restaurant,673 MALL RING Cir,Henderson,Nevada,89014,A
BONSAI SUSHI BURRITO,BONSAI SUSHI BURRITO,Restaurant,7175 W LAKE MEAD,Las Vegas,Nevada,89128,A
Bootlegger Bistro's Prep / Warewash,BOOTLEGGER,Special Kitchen,7700 S Las Vegas Blvd 1,Las Vegas,Nevada,89123-1757,A
Brando's Kitchen,Brando's,Restaurant,3725 Blue Diamond Rd,Las Vegas,Nevada,89139-7854,A
CB LOADING DOCK COOK LN/PASS TH/DISH,Colorado Belle Hotel & Casino,Special Kitchen,2100 S Casino Dr,Laughlin,Nevada,89029,A
CENTERPLATE ACES ICE MACHINE & SUPPORT S1,CENTERPLATE @ CONVENTION CENTER,Special Kitchen,3150 PARADISE,Las Vegas,Nevada,89109,A
CENTURY THEATRES @ SANTA FE #2,Santa Fe Hotel & Casino,Snack Bar,4949 N Rancho Dr,Las Vegas,Nevada,89130-3505,A
CHIPOTLE MEXICAN GRILL @ MIRACLE MILE,CHIPOTLE MEXICAN GRILL @ MIRACLE MILE,Restaurant,3663 S LAS VEGAS Blvd,Las Vegas,Nevada,89109,A
COSMO BLUE RIBBON COOK LINE P3,COSMOPOLITAN RESORT & CASINO,Special Kitchen,3708 S Las Vegas Blvd,Las Vegas,Nevada,89109-4312,A
COSMO BUFFET AMERICAN P2,COSMOPOLITAN RESORT & CASINO,Buffet,3708 S Las Vegas Blvd,Las Vegas,Nevada,89109-4312,A
COSMO HOLSTEINS RESTAURANT P2,COSMOPOLITAN RESORT & CASINO,Restaurant,3708 S Las Vegas Blvd,Las Vegas,Nevada,89109-4312,A
CREPE STATION,CREPE STATION,Restaurant,5051 STEWART 111,Las Vegas,Nevada,89110,A
CREPE STATION,CREPE STATION,Restaurant,5051 STEWART 111,Las Vegas,Nevada,89110,B
Cafe Heidelberg,Cafe Heidelberg,Restaurant,604 E Sahara Ave,Las Vegas,Nevada,89104-2967,A
Carl's Jr Restaurant #883,Carl's Jr Restaurant #883,Restaurant,3225 E Tropicana Ave,Las Vegas,Nevada,89121-7328,A
Chef on the Run,Cake Designs,Special Kitchen,5150 Spring Mountain Rd,Las Vegas,Nevada,89146-8760,A
China Joe's Express,China Joe's Express,Restaurant,1350 E Flamingo Rd 19,Las Vegas,Nevada,89119-5263,A
Chipotle Mexican Grill #366,Chipotle Mexican Grill,Restaurant,10251 S Eastern Ave,Henderson,Nevada,89052-4396,A
Church's Chicken #284,Church's Chicken,Restaurant,4880 Spring Mountain Rd,Las Vegas,Nevada,89102-8727,A
DAIRY QUEEN OF GATOR VALLEY,DAIRY QUEEN OF GATOR VALLEY,Restaurant,1660 W Warm Springs Rd,Henderson,Nevada,89014-4323,A
DEL TACO,DEL TACO #1201,Restaurant,ST. ROSE AND SPENCER,Henderson,Nevada,89183,A
DICKS LAST RESORT PATIO BAR,MCC RESORT LAS VEGAS LLC,Bar / Tavern,3850 S Las Vegas Blvd,Las Vegas,Nevada,89109-4324,A
DOS BROTHERS PUSF - DELETED,DOS BROTHERS PUSF,Portable Unit,1306 S 3RD St,Las Vegas,Nevada,89104,A
DOTTY'S #64,DOTTY'S #64,Bar / Tavern,4760 W Sahara Ave,Las Vegas,Nevada,89102-3563,A
Desert Pines Golf - Cart #1,Desert Pines Golf Club,Self-Service Food Truck,3415 E Bonanza Rd,Las Vegas,Nevada,89101-2420,A
Doubletree Club Hotel - Bakery Cafe,Doubletree Club Hotel,Restaurant,7250 Pollock Dr,Las Vegas,Nevada,89119-4406,A
EINSTEIN BROS BAGELS #3601,EINSTEIN BROS BAGELS #3601,Restaurant,3837 BLUE DIAMOND Rd,Las Vegas,Nevada,89178,A
EL CUBANITO ICE CREAM TRUCK #2,EL CUBANITO ICE CREAM TRUCK,Food Trucks / Mobile Vendor,2850 E CHARLESTON Blvd,Las Vegas,Nevada,89104,A
EXCALIBUR IN ROOM DINING ROOM SERVICE,EXCALIBUR HOTEL & CASINO,Kitchen Bakery,3850 S Las Vegas Blvd,Las Vegas,Nevada,89109-4324,A
Eureka Casino II Seasons Bar,EUREKA CASINO HOTEL,Bar / Tavern,275 MESA,Mesquite,Nevada,89027,A
FIREHOUSE SUBS - deleted 12/18/15 ts,FIREHOUSE SUBS,Restaurant,9540 W Flamingo Rd,Las Vegas,Nevada,89147-5752,A
FLAMINGO GROTTO BAR,FLAMINGO LV HOTEL & CASINO,Bar / Tavern,3555 S Las Vegas Blvd,Las Vegas,Nevada,89109-8901,A
FLAVORS OF THE WORLD RESTAURANT,FLAVORS OF THE WORLD,Restaurant,4972 S MARYLAND Pkwy 21-23,Las Vegas,Nevada,89119,A
FRANKIE'S ICE CREAM #2,FRANKIES ICE CREAM,Food Trucks / Mobile Vendor,4181 W PIONEER Ave,Las Vegas,Nevada,89102,A
Four Queens Chicago Brewing Company,Four Queens Hotel & Casino,Restaurant,202 Fremont St,Las Vegas,Nevada,89101-5606,A
Golden Nugget Lillies Asian Cuisine,Golden Nugget Las Vegas,Restaurant,129 E Fremont St,Las Vegas,Nevada,89101-5603,A
HOOTERS ON EASTERN BAR,HOOTERS ON EASTERN,Bar / Tavern,10430 S EASTERN,Henderson,Nevada,89052,A
HOT DOG ON A STICK -  MEADOWS MALL,MEADOWS MALL - HOT DOG ON A STICK,Restaurant,4300 Meadows Ln 5010,Las Vegas,Nevada,89107,A
Hot Dog Stand  DELETED 10/10/13,Virgin River Hotel,Portable Unit,100 E Pioneer Blvd,Mesquite,Nevada,89027-4929,A
ISCREAM ICE CREAM TRUCK,ISCREAM ICE CREAM TRUCK,Food Trucks / Mobile Vendor,1100 SEARLES,Las Vegas,Nevada,89101,A
JACKPOT JOANIE'S SNACK BAR,JACKPOT JOANIE'S RF,Snack Bar,4012 S RAINBOW,Las Vegas,Nevada,89103,A
JJ Wild Treat Ice Cream Truck,JJ Wild Treat Ice Cream Truck,Food Trucks / Mobile Vendor,5515 Walcott Dr,Las Vegas,Nevada,89118-6034,A
JOHNNY FONTANES BAR & GRILL,JOHNNY FONTANES BAR & GRILL,Restaurant,5310 W SAHARA,Las Vegas,Nevada,89146,A
JUICE BAR @ LVAC EASTERN,JUICE BAR @ LVAC EASTERN,Snack Bar,9065 S EASTERN Ave,Las Vegas,Nevada,89147,A
Jamba Juice #0949 Catering,McCarran Marketplace - Jamba Juice,Caterer,5905 S Eastern Ave,Las Vegas,Nevada,89119-3129,A
K Deep Ice Cream Truck,K DEEP ICE CREAM TRUCK,Food Trucks / Mobile Vendor,801 SEARLES Ave,Las Vegas,Nevada,89101-1634,A
KINGS KID RESTAURANT,KINGS KID RESTAURANT,Restaurant,2362 Lexington St,Las Vegas,Nevada,89106-2206,A
Kentucky Fried Chicken #527024,Kentucky Fried Chicken #X527024,Restaurant,6728 W Cheyenne Ave,Las Vegas,Nevada,89108-4588,A
Kid's Smile Ice Cream Truck,Kid's Smile,Food Trucks / Mobile Vendor,2850 E Charleston Blvd,Las Vegas,Nevada,89104-2307,A
LA FLOR ES MICHOACAN SEASONAL (10/7/16 - 6/7/17),LA FLOR ES MICHOACAN,Portable Unit,4161 S EASTERN 11-12,Las Vegas,Nevada,89119,A
LA MOJARRA LOCA & GRILL RESTAURANT,LA MOJARRA LOCA & GRILL,Restaurant,2797 S MARYLAND,Las Vegas,Nevada,89109,A
LA SALSA #76 OUTDOOR BAR - DELETED,LA SALSA #76 @ CAESARS,Bar / Tavern,3500 S Las Vegas Blvd,Las Vegas,Nevada,89109-8900,A
LA TRADICION SEASONAL (4/16/14 - 12/16/14),LA TRADICION SEASONAL (12/16/13 - 7/16//14),Portable Unit,4371 STEWART,Las Vegas,Nevada,89110,A
LAS TAPATIAS SEASONAL (10/3/12 - 6/3/13),JESUS VARELAS,Portable Unit,2201 S Maryland Pkwy,Las Vegas,Nevada,89104-3205,A
LBS Burger Joint Bar,LBS BURGER JOINT @ RED ROCK,Bar / Tavern,11011 W Charleston Blvd,Las Vegas,Nevada,89135-1402,A
LEMON HEAVEN @ LVPO #2 PUSF,LEMON HEAVEN @ LVPO #2,Portable Unit,875 S GRAND CENTRAL Pkwy,Las Vegas,Nevada,89106,A
LEO'S BAGELS AND SUBS,LEO'S BAGELS AND SUBS,Restaurant,4225 E Sahara 6,Las Vegas,Nevada,89104,A
LINQ HIGH ROLLER PUSF 15,LINQ WHEEL HIGH ROLLER,Portable Unit,3545 S LAS VEGAS,Las Vegas,Nevada,89109,A
Los Lupes Service Bar,Los Lupes,Bar / Tavern,312 W Mesquite Blvd,Mesquite,Nevada,89027-5134,A
MARISCOS EL MARIACHI #2,MARISCOS EL MARIACHI #2,Restaurant,"1725 N NELLIS A,B&C",Las Vegas,Nevada,89115,A
MARQUEE NIGHTCLUB PORT BAR SKYCAP,COSMO - MARQUEE DAYCLUB / NIGHTCLUB,Portable Unit,3708 S Las Vegas Blvd,Las Vegas,Nevada,89109-4312,A
MB STRIP STEAK PASTRY,MANDALAY BAY HOTEL & CASINO,Kitchen Bakery,3950 S Las Vegas Blvd,Las Vegas,Nevada,89119-1005,A
MCDONALDS #3114,McDonalds Corporation,Restaurant,3999 S Las Vegas Blvd,Las Vegas,Nevada,89119-1001,A
