name,address,city,state,zip_code,current_score,current_grade,rating,review_count,restaurants_price_range2,restaurants_reservations,restaurants_delivery,restaurants_takeout,business_accepts_creditcards,accepts_apple_pay,good_for,bike_parking,good_for_kids,restaurants_good_for_groups,restaurants_attire,ambience,noise_level,alcohol,outdoor_seating,wifi,has_tv,caters,good_for_working,gender_neutral_restrooms,location_name,category_name,violations,current_demerits,inspection_demerits,inspection_score,inspection_grade,business_id,neighborhood,accepts_insurance,ages_allowed,byob,byob_corkage,best_nights,business_accepts_bitcoin,business_parking,byappointmentonly,coat_check,corkage,dietary_restrictions,dogs_allowed,drive_thru,good_for_dancing,good_for_meal,hair_specializes_in,happy_hour,music,open_24_hours,restaurants_counter_service,restaurants_table_service,smoking,wheelchair_accessible,accepts_google_pay,has_gluten_free_options,has_pool_table,liked_by_vegans,liked_by_vegetarians,offers_military_discount,waiter_service
CORAL FISH,6357 WILSHIRE BLVD,LOS ANGELES,CA,90048,91,A,4.5,137.0,$$,Null,Null,Yes,Yes,No,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,No,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CORAL REEF RESTAURANT,3200 GLENDALE BLVD,LOS ANGELES,CA,90039,93,A,3.5,118.0,$,Yes,No,Yes,Yes,No,"Lunch, Dinner",Yes,Yes,Yes,Casual,Casual,Average,No,No,No,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CORAL TREE EXPRESS,10250 STA MON BLVD STE FC12,LOS ANGELES,CA,90067,94,A,3.0,133.0,$$,No,No,Yes,Yes,Null,Null,No,Yes,Yes,Casual,Null,Average,No,Yes,No,No,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
COREA BBQ,3500 W 6TH ST,LOS ANGELES,CA,90020,91,A,3.0,58.0,$,No,No,Yes,Yes,No,Null,Yes,Yes,Yes,Casual,Casual,Loud,No,Yes,No,No,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CORLEONE PIZZA,310 W 7TH ST,LOS ANGELES,CA,90014,91,A,3.5,27.0,$,No,Yes,Yes,Yes,Null,Null,Yes,No,No,Casual,Null,Loud,No,Yes,No,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CORONA MARKET,1913 E 1ST ST,LOS ANGELES,CA,90033,90,A,2.0,2.0,$,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CORONADO MEXICAN RESTAURANT,212 W 5TH ST,LOS ANGELES,CA,90013,93,A,3.5,225.0,$,No,Yes,Yes,Yes,No,"Lunch, Dinner",Yes,Yes,Yes,Casual,Casual,Average,Full Bar,No,No,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CORREA'S MARKET,2707 N MAIN ST,LOS ANGELES,CA,90031,95,A,5.0,6.0,$,Null,Null,Yes,Yes,Null,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
COST PLUS WORLD MARKET,10860 SANTA MONICA BLVD,LOS ANGELES,CA,90025,96,A,4.0,145.0,$$,Null,Null,No,Yes,Yes,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
COSTA ALEGRE,1901 W SUNSET BLVD,LOS ANGELES,CA,90026,90,A,3.0,171.0,$$,Yes,No,Yes,Yes,No,"Lunch, Dinner",Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
COUNT POTATO,1125 W 6TH ST STE 105,LOS ANGELES,CA,90017,95,A,2.5,10.0,$,No,Yes,Yes,Yes,Null,Null,Null,Yes,No,Casual,Null,Null,No,No,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
COUNTRY RANCH MARKET,2800 BEVERLY BLVD,LOS ANGELES,CA,90057,90,A,3.5,5.0,$,Null,Null,No,Yes,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
COURT DELI,3000 S ROBERTSON BLVD STE 110,LOS ANGELES,CA,90034,94,A,4.0,1.0,$,Null,No,Yes,Yes,Null,Null,Null,Yes,No,Casual,Null,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
COURTYARD CAFE,6161 W CENTURY BLVD,LOS ANGELES,CA,90045,96,A,4.5,136.0,$,No,Yes,Yes,Yes,No,"Breakfast, Lunch",Yes,Yes,Yes,Casual,Casual,Quiet,No,Yes,No,Yes,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
COURTYARD CAFE,8939 S SEPULVEDA BLVD STE 107,LOS ANGELES,CA,90045,82,B,4.5,136.0,$,No,Yes,Yes,Yes,No,"Breakfast, Lunch",Yes,Yes,Yes,Casual,Casual,Quiet,No,Yes,No,Yes,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
COURTYARD CAFE / MANNA CAFE,700 N ALAMEDA ST,LOS ANGELES,CA,90012,93,A,4.0,1818.0,$,No,No,Yes,Yes,No,"Breakfast, Dessert",Yes,Yes,Yes,Casual,Casual,Average,No,Yes,Free,No,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
COVELL,4628 HOLLYWOOD BLVD,LOS ANGELES,CA,90027,97,A,4.5,394.0,$$,No,Null,Null,Yes,No,Null,Yes,Null,Yes,Null,Hipster,Average,Beer & Wine Only,Yes,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
COWBOYS AND TURBANS,2815 W SUNSET BLVD STE #102,LOS ANGELES,CA,90026,90,A,3.0,607.0,$$,Yes,Yes,Yes,Yes,Null,Null,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CRAFT PIZZA N' CHICKEN,735 E 12TH ST # 406,LOS ANGELES,CA,90021,96,A,4.5,13.0,$,No,Yes,Yes,Yes,Yes,Lunch,Yes,Yes,Yes,Casual,Casual,Loud,No,Yes,No,No,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CRAFT RESTAURANT,10100 CONSTELLATION BLVD,LOS ANGELES,CA,90067,93,A,4.0,1521.0,$$$$,Yes,No,Yes,Yes,No,Dinner,No,No,Yes,Dressy,"Classy, Upscale",Average,Full Bar,Yes,Free,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CRATE & BARREL,189 THE GROVE DR # #0-80,LOS ANGELES,CA,90036,96,A,3.5,101.0,$$,Null,Null,Null,Yes,No,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CRAWFISH ON FIRE,4411 EAGLE ROCK BLVD,LOS ANGELES,CA,90041,90,A,4.0,255.0,$$,No,Yes,Yes,Yes,No,"Lunch, Dinner",Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,Free,Yes,No,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CRAWFORDS,2616 BEVERLY BLVD,LOS ANGELES,CA,90057,98,A,4.5,183.0,$,No,No,Yes,Yes,No,"Dinner, Late Night",Yes,No,Yes,Casual,"Divey, Casual",Average,Beer & Wine Only,No,No,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CRAZY GIRLS,1433 N LA BREA AVE,LOS ANGELES,CA,90028,96,A,3.5,74.0,$$,Null,Null,Null,Yes,Null,Null,Yes,Null,Yes,Null,Null,Very Loud,Full Bar,No,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CRAZY Q BARGAIN,8620 S ORCHARD AVE,LOS ANGELES,CA,90044,96,A,3.0,6.0,$,Null,Null,Null,Yes,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CRE8,6654 HOLLYWOOD BLVD,LOS ANGELES,CA,90028,94,A,4.5,163.0,$,No,No,Yes,Yes,No,Dessert,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,No,No,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CREAM,3335 S FIGUEROA ST #P,LOS ANGELES,CA,90007,98,A,4.0,236.0,$,No,No,Yes,Yes,Yes,Null,Yes,Yes,Yes,Casual,Null,Null,No,Null,No,Null,No,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CRENSHAW CHRISTIAN CENTER,7901 S VERMONT AVE,LOS ANGELES,CA,90044,90,A,4.5,15.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CRENSHAW DISCOUNT STORE,3657 S CRENSHAW BLVD,LOS ANGELES,CA,90016,87,B,2.5,2.0,$,Null,Null,No,Yes,No,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CRENSHAW FISH MARKET,3407 S CRENSHAW BLVD,LOS ANGELES,CA,90016,86,B,3.5,47.0,$,No,No,Yes,Yes,Null,Null,Yes,Yes,Yes,Casual,Null,Average,No,No,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CREPE EXPRESS,529 W 6TH ST,LOS ANGELES,CA,90014,93,A,4.5,442.0,$,No,Yes,Yes,Yes,Yes,"Breakfast, Brunch, Lunch",Yes,Yes,No,Casual,Casual,Average,No,Yes,Free,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CREPES SANS FRONTIERS,541 S SPRING ST #127,LOS ANGELES,CA,90013,93,A,4.5,307.0,$$,Yes,No,Yes,Yes,No,"Brunch, Lunch",Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,No,Yes,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CRIMINAL COURTS BUILDING,210 W TEMPLE ST FL 5TH F,LOS ANGELES,CA,90012,97,A,3.0,146.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CRISPY PORK GANG & GRILL,5253 HOLLYWOOD BLVD,LOS ANGELES,CA,90027,90,A,3.0,490.0,$,No,Yes,Yes,Yes,No,"Lunch, Dinner, Late Night",Yes,Yes,Yes,Casual,Casual,Average,No,No,No,Yes,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CRISTINA'S BAKERY,3603 1/2 W 3RD ST,LOS ANGELES,CA,90020,90,A,5.0,4.0,$,Null,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CROCKER CLUB,453 S SPRING ST,LOS ANGELES,CA,90013,94,A,3.0,391.0,$$,Yes,Null,Null,Yes,No,Null,Yes,Null,Yes,Null,Null,Very Loud,Full Bar,No,Free,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CROSSROADS,8284 MELROSE AVE,LOS ANGELES,CA,90046,90,A,4.0,1153.0,$$$,Yes,No,Yes,Yes,No,Dinner,No,No,Yes,Dressy,Classy,Average,Full Bar,Yes,No,No,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CROWN OF INDIA,6755 SANTA MONICA BLVD,LOS ANGELES,CA,90038,94,A,4.0,543.0,$$,Yes,Yes,Yes,Yes,No,Dinner,Yes,Yes,Yes,Casual,Casual,Quiet,No,No,Free,No,Yes,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CROWNE PLAZA LAX BAR,5985 CENTURY BLVD,LOS ANGELES,CA,90045,91,A,3.0,289.0,$$,Null,Null,Null,Yes,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Paid,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CROWNE PLAZA LAX LANDING,5985 W CENTURY BLVD,LOS ANGELES,CA,90045,91,A,3.0,289.0,$$,Null,Null,Null,Yes,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Paid,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CRUZER PIZZA & PASTA,4449 PROSPECT AVE,LOS ANGELES,CA,90027,96,A,4.5,611.0,$$,No,Yes,Yes,Yes,No,"Lunch, Dinner",Yes,Yes,No,Casual,Casual,Average,No,Yes,No,No,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CRYSTAL BAKERY,3976 S FIGUEROA ST,LOS ANGELES,CA,90037,95,A,3.0,7.0,$,Null,No,Null,Yes,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CUEVAS HEALTH FOOD STORE,738 S ATLANTIC BLVD,LOS ANGELES,CA,90022,99,A,3.0,2.0,$$,Null,Null,No,Yes,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CUGURT,1904 1/2 HILLHURST AVE,LOS ANGELES,CA,90027,94,A,4.0,280.0,$,No,Yes,Yes,Yes,No,"Lunch, Dinner, Late Night",Yes,Yes,Yes,Casual,Casual,Quiet,No,No,Free,Yes,Yes,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CUORE DELL AMANTE,123 9TH ST,LOS ANGELES,CA,90015,94,A,3.5,251.0,$$,Yes,Yes,Yes,Yes,No,"Lunch, Dinner, Late Night",Yes,Yes,Yes,Casual,"Casual, Intimate",Average,Beer & Wine Only,Yes,Free,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CUP O' JOY,3016 S FIGUEROA ST,LOS ANGELES,CA,90007,92,A,3.5,288.0,$,No,No,Yes,Yes,No,"Lunch, Dinner, Late Night, Dessert",Yes,Yes,Yes,Casual,Casual,Average,No,No,Free,Yes,No,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CURRY HOUSE,123 ASTRONAUT ELLISON ONIZUKA ST #204,LOS ANGELES,CA,90012,96,A,4.0,1045.0,$$,Yes,Yes,Yes,Yes,No,"Lunch, Dinner",Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CURSON CAFE,475 W CURSON AVE,LOS ANGELES,CA,90036,92,A,4.0,28.0,$,No,No,Yes,Yes,No,"Breakfast, Brunch, Lunch, Dessert",Yes,Yes,Yes,Casual,Null,Average,No,Yes,Free,No,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CUSCATLECA BAKERY,2501 W SUNSET BLVD #A,LOS ANGELES,CA,90026,90,A,4.0,213.0,$,No,No,Yes,Yes,Yes,Lunch,Yes,Yes,No,Casual,Null,Average,No,Yes,Free,Yes,Yes,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CUSTOM HOTEL,8639 LINCOLN BLVD,LOS ANGELES,CA,90045,91,A,2.0,10.0,$$,Null,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Free,Null,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CUTEY PIE CAFETERIA,207 S BROADWAY # B1,LOS ANGELES,CA,90012,93,A,4.5,5.0,$,No,No,Yes,Yes,Null,Null,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CUVEE,145 S ROBERTSON BLVD,LOS ANGELES,CA,90048,90,A,3.5,301.0,$$,Yes,Yes,Yes,Yes,No,Lunch,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,No,Yes,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CUYUTLAN,2238 1/2 E 1ST ST,LOS ANGELES,CA,90033,92,A,4.5,35.0,$,No,No,Yes,No,Null,Lunch,Yes,Yes,Yes,Casual,Null,Average,No,Yes,No,No,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CVS/PHARMACY #9531,4501 W SLAUSON AVE,LOS ANGELES,CA,90043,97,A,2.0,22.0,$$,Null,Null,Null,Yes,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CVS/PHARMACY #9576,10889 WELLWORTH AVE,LOS ANGELES,CA,90024,98,A,2.0,118.0,$$,Null,Null,Null,Yes,No,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
CVS/PHARMACY #9766,12015 WILSHIRE BLVD,LOS ANGELES,CA,90025,96,A,2.5,50.0,$$,Null,Null,Null,Yes,Yes,Null,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
