ACTIVITY DATE,RECORD ID,NAME,ADDRESS,SITE ADDRESS,SITE CITY,SITE STATE,SITE ZIP,PROGRAM ELEMENT CODE,PROGRAM ELEMENT CODE DESCRIPTION,SERVICE DESCRIPTION,ROW ID,VIOLATION CODE,VIOLATION CODE DESCRIPTION,POINTS,SCORE,GRADE,COUNT,RATING,REVIEW,PRICE,PHONE,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Accepts Apple Pay,Good For,Parking,Bike Parking,Good for Kids,Good for Groups,Attire,Ambience,Noise Level,Alcohol,Outdoor Seating,Wi-Fi,Has TV,Caters,Good for Working,Gender Neutral Restrooms
12/30/2014,PR0047709,CARNITAS MICHOACAN,"1901 N BROADWAY  LOS ANGELES, CA 90031",1901 N BROADWAY,LOS ANGELES,CA,90031,1635,RESTAURANT (31-60) SEATS HIGH RISK,ROUTINE INSPECTION,IVSK1YYLQ,16F037,"# 37. Adequate ventilation and lighting; designated areas, use",1,95,A,1,4,1020,$,13232252729,No,No,Yes,Yes,No,"Lunch, Late Night",Private Lot,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,No,Yes,No,,
1/13/2015,PR0146749,CARNITAS URUAPAN - MARKET & BAKERY,"2102 E CESAR E CHAVEZ AVE LOS ANGELES, CA 90033",2102 E CESAR E CHAVEZ AVE,LOS ANGELES,CA,90033,1615,"FOOD MKT RETAIL (2,000+ SF) HIGH RISK",ROUTINE INSPECTION,IVYOX30PO,16F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",1,92,A,1,4,7,$,13232652474,,No,Yes,Yes,,,Street,,,,,,,,,,,,,
10/22/2014,PR0012578,CAROLYN'S KITCHEN,"853 E MANCHESTER AVE  LOS ANGELES, CA 90001",853 E MANCHESTER AVE,LOS ANGELES,CA,90001,1632,RESTAURANT (0-30) SEATS HIGH RISK,ROUTINE INSPECTION,IVU9G1ECW,16F037,"# 37. Adequate ventilation and lighting; designated areas, use",1,94,A,1,4,244,$$,13235851660,No,No,Yes,Yes,No,"Lunch, Dinner",Private Lot,No,Yes,Yes,Casual,Casual,Average,No,No,No,Yes,Yes,,
1/9/2016,PR0173518,CARONDELET HOUSE,"627 S CARONDELET ST LOS ANGELES, CA 90057",627 S CARONDELET ST,LOS ANGELES,CA,90057,1634,RESTAURANT (31-60) SEATS MODERATE RISK,ROUTINE INSPECTION,IVERAPHZE,16F048,# 47. Permits Available,1,91,A,1,4.5,82,,13234661835,,,,Yes,,,,,,,,,,,,,,,,
12/23/2014,PR0010691,CAROUSSEL,"5112 HOLLYWOOD BLVD  LOS ANGELES, CA 90027",5112 HOLLYWOOD BLVD,LOS ANGELES,CA,90027,1635,RESTAURANT (31-60) SEATS HIGH RISK,ROUTINE INSPECTION,IVGJSCHY0,16F014,# 14. Food contact surfaces: clean and sanitized,2,91,A,1,4.5,493,$$,13236608060,Yes,Yes,Yes,Yes,No,"Lunch, Dinner",Private Lot,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,No,No,Yes,,
10/9/2014,PR0041805,CARRILLO'S RESTAURANT,"254 W FLORENCE AVE  LOS ANGELES, CA 90003",254 W FLORENCE AVE,LOS ANGELES,CA,90003,1632,RESTAURANT (0-30) SEATS HIGH RISK,ROUTINE INSPECTION,IVSOBSTVF,16F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",1,93,A,1,4.5,7,$,13237595216,No,No,Yes,No,,,,No,Yes,Yes,Casual,,Average,No,No,No,No,No,,
11/4/2014,PR0025672,CARTHAY CAFE,"6310 SAN VICENTE BLVD STE 106 LOS ANGELES, CA 90048",6310 SAN VICENTE BLVD STE 106,LOS ANGELES,CA,90048,1635,RESTAURANT (31-60) SEATS HIGH RISK,ROUTINE INSPECTION,IVSQSG6PZ,16F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",1,90,A,1,3,10,$,13239381448,No,No,Yes,Yes,,,,Yes,Yes,Yes,Casual,,Average,,Yes,,No,,,
7/8/2015,PR0167520,CARTHAY CAFE,"6310 SAN VICENTE BLVD # 106 LOS ANGELES, CA 90048",6310 SAN VICENTE BLVD # 106,LOS ANGELES,CA,90048,1632,RESTAURANT (0-30) SEATS HIGH RISK,ROUTINE INSPECTION,IVJFYN4LW,16F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",1,92,A,1,3,10,$,13239381448,No,No,Yes,Yes,,,,Yes,Yes,Yes,Casual,,Average,,Yes,,No,,,
11/4/2014,PR0045384,CASA BIANCA,"1650 COLORADO BLVD  LOS ANGELES, CA 90041",1650 COLORADO BLVD,LOS ANGELES,CA,90041,1638,RESTAURANT (61-150) SEATS HIGH RISK,ROUTINE INSPECTION,IVFTMSO6U,16F033,# 33. Nonfood-contact surfaces clean and in good repair,1,97,A,1,4,1132,$$,13232569617,Yes,No,Yes,No,No,Dinner,Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,,
7/18/2016,PR0180829,CASA CHAPINA,"501 N WESTERN AVE LOS ANGELES, CA 90004",501 N WESTERN AVE,LOS ANGELES,CA,90004,1635,RESTAURANT (31-60) SEATS HIGH RISK,ROUTINE INSPECTION,IVCU00C1B,16F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",1,95,A,1,4,12,$,13232461997,No,,Yes,Yes,,Brunch,,,Yes,Yes,Casual,,,,,,,,,
3/4/2015,PR0039432,CASA CHOCOLATE,"3319 W PICO BLVD  LOS ANGELES, CA 90019",3319 W PICO BLVD,LOS ANGELES,CA,90019,1632,RESTAURANT (0-30) SEATS HIGH RISK,ROUTINE INSPECTION,IVYQ3S2CT,16F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",1,93,A,1,4,150,$,13237347679,No,Yes,Yes,Yes,Yes,,Private Lot,No,Yes,Yes,Casual,Casual,Quiet,No,No,No,Yes,Yes,,Yes
12/26/2014,PR0035359,CASA HONDURAS RESTAURANT,"9131 S VERMONT AVE  LOS ANGELES, CA 90044",9131 S VERMONT AVE,LOS ANGELES,CA,90044,1638,RESTAURANT (61-150) SEATS HIGH RISK,ROUTINE INSPECTION,IVF0AOQFS,16F036,"# 36. Equipment, utensils and linens: storage and use",1,90,A,1,4,26,$$,13237771117,No,No,Yes,Yes,,,,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,Yes,Yes,,
4/10/2015,PR0002764,CASA INDIA,"348 S BROADWAY  LOS ANGELES, CA 90013",348 S BROADWAY,LOS ANGELES,CA,90013,1638,RESTAURANT (61-150) SEATS HIGH RISK,ROUTINE INSPECTION,IV0NDMFTK,16F052,# 1b. Food safety certification,2,91,A,1,4,6,$,12136251264,No,No,Yes,No,,,,,No,Yes,Casual,,Average,Beer & Wine Only,No,,Yes,,,
12/15/2014,PR0042394,CASA LA DONA,"800 S MAIN ST  LOS ANGELES, CA 90014",800 S MAIN ST,LOS ANGELES,CA,90014,1635,RESTAURANT (31-60) SEATS HIGH RISK,ROUTINE INSPECTION,IVLSZQVQ0,16F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",1,95,A,1,4.5,440,$,12136277441,No,No,Yes,Yes,No,"Lunch, Dinner",Street,Yes,Yes,Yes,Casual,Casual,Average,No,No,No,No,Yes,,
12/31/2014,PR0040802,CASA NOODLE TERIYAKI,"5930 S MAIN ST STE #103 LOS ANGELES, CA 90003",5930 S MAIN ST STE #103,LOS ANGELES,CA,90003,1632,RESTAURANT (0-30) SEATS HIGH RISK,ROUTINE INSPECTION,IV3WA0T0P,16F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",1,97,A,1,4.5,69,$,13232328200,No,Yes,Yes,Yes,No,"Lunch, Dinner","Street, Private Lot",Yes,Yes,Yes,Casual,,Average,No,No,No,Yes,Yes,,Yes
1/27/2015,PR0144438,CASA NOSTRA RISTORANTE & BAR,"825 W 9TH ST LOS ANGELES, CA 90015",825 W 9TH ST,LOS ANGELES,CA,90015,1638,RESTAURANT (61-150) SEATS HIGH RISK,ROUTINE INSPECTION,IVODIFUUG,16F014,# 14. Food contact surfaces: clean and sanitized,2,91,A,1,4,495,$$,12133623311,Yes,No,Yes,Yes,No,Dinner,"Private Lot, Validated",Yes,No,Yes,Casual,Classy,Average,Full Bar,Yes,Free,Yes,Yes,,
11/14/2014,PR0003161,CASA SANCHEZ,"4500 S CENTINELA AVE  LOS ANGELES, CA 90066",4500 S CENTINELA AVE,LOS ANGELES,CA,90066,1641,RESTAURANT (151 + ) SEATS HIGH RISK,OWNER INITIATED ROUTINE INSPECT.,IVOEKHKL7,16F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",1,94,A,1,4,974,$$,13103979999,Yes,No,Yes,Yes,No,Dinner,"Valet, Street, Validated",Yes,Yes,Yes,Casual,Classy,Loud,Full Bar,Yes,No,No,No,,
3/3/2015,PR0006550,CASCADA REFRESCANTE,"4312 S CENTRAL AVE  LOS ANGELES, CA 90011",4312 S CENTRAL AVE,LOS ANGELES,CA,90011,1631,RESTAURANT (0-30) SEATS MODERATE RISK,ROUTINE INSPECTION,IVKQHC2KL,16F043,# 43. Premises; personal/cleaning items; vermin-proofing,1,95,A,1,4,83,$,13232334616,,,Yes,Yes,No,,Private Lot,Yes,,,,,,,,No,,No,,
12/18/2014,PR0024663,CASEY S BAR AND GRILL,"613 S GRAND AVE  LOS ANGELES, CA 90017",613 S GRAND AVE,LOS ANGELES,CA,90017,1641,RESTAURANT (151 + ) SEATS HIGH RISK,ROUTINE INSPECTION,IVMYJVUP3,16F052,# 1b. Food safety certification,2,93,A,1,3.5,702,$$,12136292353,Yes,No,Yes,Yes,No,Late Night,Street,Yes,No,Yes,Casual,Casual,Average,Full Bar,Yes,No,Yes,Yes,,
6/23/2016,PR0171976,CASITA TACO AL CARBON  #3,"609 SPRING ST LOS ANGELES, CA 90014",609 SPRING ST,LOS ANGELES,CA,90014,1631,RESTAURANT (0-30) SEATS MODERATE RISK,ROUTINE INSPECTION,IV0H4MCAH,16F027,# 27. Food separated and protected,1,96,A,1,4,109,$,12136277414,No,Yes,Yes,Yes,No,"Lunch, Dinner, Late Night",Street,Yes,Yes,Yes,Casual,Casual,Average,No,No,Free,No,Yes,,Yes
10/7/2014,PR0036787,CASITAS DEL CAMPO,"1920 HYPERION AVE  LOS ANGELES, CA 90027",1920 HYPERION AVE,LOS ANGELES,CA,90027,1641,RESTAURANT (151 + ) SEATS HIGH RISK,ROUTINE INSPECTION,IVL87SCYN,16F046,# 46. Signs posted; last inspection report available,1,94,A,1,3.5,487,$$,13236624255,Yes,No,Yes,Yes,No,Dinner,Valet,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,No,Yes,No,,Yes
10/6/2014,PR0129748,CASTLE BBQ,"473 N WESTERN AVE # 1 LOS ANGELES, CA 90004",473 N WESTERN AVE # 1,LOS ANGELES,CA,90004,1638,RESTAURANT (61-150) SEATS HIGH RISK,ROUTINE INSPECTION,IVE0A6KY0,16F036,"# 36. Equipment, utensils and linens: storage and use",1,92,A,1,3.5,1289,$$,13234673813,Yes,No,No,Yes,No,"Lunch, Dinner","Valet, Street, Private Lot",No,Yes,Yes,Casual,Casual,Loud,Beer & Wine Only,No,No,No,No,,
9/23/2015,PR0042396,CATALINA LIQUOR,"3130 W 8TH ST  LOS ANGELES, CA 90005",3130 W 8TH ST,LOS ANGELES,CA,90005,1610,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",ROUTINE INSPECTION,IVE0SD00H,16F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",1,90,A,1,3,6,$,,,,No,Yes,No,,Street,Yes,,,,,,,,,,,,
11/8/2014,PR0021321,CATALINA'S BAR & GRILL,"6725 W SUNSET BLVD  LOS ANGELES, CA 90028",6725 W SUNSET BLVD,LOS ANGELES,CA,90028,1641,RESTAURANT (151 + ) SEATS HIGH RISK,ROUTINE INSPECTION,IV8XK2EHR,16F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",1,95,A,1,2.5,298,$$$,13234662210,Yes,No,No,Yes,No,Late Night,Garage,No,No,Yes,Dressy,Classy,Loud,Full Bar,No,No,No,No,,
9/2/2015,PR0168826,CATALINA'S SUPERMARKET,"1068 N WESTERN AVE LOS ANGELES, CA 90029",1068 N WESTERN AVE,LOS ANGELES,CA,90029,1612,"FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",ROUTINE INSPECTION,IVFFXGOPY,16F014,# 14. Food contact surfaces: clean and sanitized,4,94,A,1,4,91,$,13234641064,,No,Yes,Yes,No,,"Street, Private Lot",Yes,,,,,,,,,,Yes,,
12/19/2014,PR0025287,CATCH 21 DOWNTOWN,"441 S CENTRAL AVE  LOS ANGELES, CA 90013",441 S CENTRAL AVE,LOS ANGELES,CA,90013,1638,RESTAURANT (61-150) SEATS HIGH RISK,ROUTINE INSPECTION,IVX95TF1W,16F009,# 9. Proper cooling methods,2,92,A,1,4,84,$,12134851614,No,No,Yes,Yes,No,,Private Lot,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,No,Yes,No,,
11/24/2014,PR0031876,CAVEMAN KITCHEN,"2215 S VERMONT AVE STE #101 LOS ANGELES, CA 90007",2215 S VERMONT AVE STE #101,LOS ANGELES,CA,90007,1635,RESTAURANT (31-60) SEATS HIGH RISK,ROUTINE INSPECTION,IVF6GF09L,16F023,"# 23. No rodents, insects, birds, or animals",2,91,A,1,4,289,$,13237373717,No,Yes,Yes,Yes,No,"Lunch, Dinner","Street, Private Lot",Yes,Yes,Yes,Casual,Casual,Average,No,No,No,Yes,Yes,,
11/30/2015,PR0170670,CBC EAGLE ROCK,"1351 COLORADO BLVD LOS ANGELES, CA 90041",1351 COLORADO BLVD,LOS ANGELES,CA,90041,1630,RESTAURANT (0-30) SEATS LOW RISK,ROUTINE INSPECTION,IVVWBGUH0,16F039,# 39. Wiping cloths: properly used and stored,1,97,A,1,4.5,113,$$,13232065164,,,Yes,Yes,No,,"Street, Private Lot",Yes,,,,,,,,,,No,,Yes
10/8/2014,PR0020846,CBS SEAFOOD RESTAURANT,"700 N SPRING ST  LOS ANGELES, CA 90012",700 N SPRING ST,LOS ANGELES,CA,90012,1641,RESTAURANT (151 + ) SEATS HIGH RISK,ROUTINE INSPECTION,IVGC09SJT,16F033,# 33. Nonfood-contact surfaces clean and in good repair,1,83,B,1,3,578,$$,12136172323,No,No,Yes,Yes,No,Lunch,Private Lot,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,,
11/4/2014,PR0015905,CECY'S MARKET,"1256 N EDGEMONT ST #  LOS ANGELES, CA 90029",1256 N EDGEMONT ST #,LOS ANGELES,CA,90029,1612,"FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",ROUTINE INSPECTION,IVFDL8AMT,16F036,"# 36. Equipment, utensils and linens: storage and use",1,91,A,1,4,1,$,,,,,,,,,,,,,,,,,,,,,
9/24/2015,PR0023364,CEDARS COFFEE,"8631 W 3RD ST STE 311E LOS ANGELES, CA 90048",8631 W 3RD ST STE 311E,LOS ANGELES,CA,90048,1630,RESTAURANT (0-30) SEATS LOW RISK,ROUTINE INSPECTION,IVV7MO7WK,16F038,# 38. Thermometers provided and accurate,1,90,A,1,4.5,198,$$,13108888804,No,Yes,Yes,Yes,Yes,"Lunch, Dinner",Street,Yes,Yes,Yes,Casual,"Casual, Trendy",Average,No,Yes,Free,No,Yes,,Yes
12/15/2014,PR0020658,CELADON THAI KITCHEN,"13364 W WASHINGTON BLVD  LOS ANGELES, CA 90066",13364 W WASHINGTON BLVD,LOS ANGELES,CA,90066,1635,RESTAURANT (31-60) SEATS HIGH RISK,ROUTINE INSPECTION,IVAHCWZVN,16F007,# 7. Proper hot and cold holding temperatures,2,92,A,1,3.5,381,$$,13108238100,Yes,Yes,Yes,Yes,Yes,"Lunch, Dinner","Street, Private Lot",Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,No,Yes,,
1/8/2015,PR0154024,CELAYA BAKERY,"2704 S VERMONT AVE LOS ANGELES, CA 90007",2704 S VERMONT AVE,LOS ANGELES,CA,90007,1631,RESTAURANT (0-30) SEATS MODERATE RISK,ROUTINE INSPECTION,IVCKCT8FY,16F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",1,93,A,1,3.5,19,$,13237318429,,Yes,Yes,Yes,No,,"Street, Private Lot",Yes,,Yes,,,,,,,,,,
1/21/2015,PR0005416,CELAYA BAKERY,"2304 S VERMONT AVE  LOS ANGELES, CA 90007",2304 S VERMONT AVE,LOS ANGELES,CA,90007,1631,RESTAURANT (0-30) SEATS MODERATE RISK,ROUTINE INSPECTION,IVYC0QH6M,16F023,"# 23. No rodents, insects, birds, or animals",2,96,A,1,3.5,19,$,13237318429,,Yes,Yes,Yes,No,,"Street, Private Lot",Yes,,Yes,,,,,,,,,,
5/25/2015,PR0034133,CEMITAS POBLANAS JUQUILITA,"532 S LORENA ST  LOS ANGELES, CA 90063",532 S LORENA ST,LOS ANGELES,CA,90063,1632,RESTAURANT (0-30) SEATS HIGH RISK,ROUTINE INSPECTION,IVQNX2RIJ,16F014,# 14. Food contact surfaces: clean and sanitized,4,91,A,1,4,39,$,13232610390,No,Yes,Yes,Yes,No,"Brunch, Lunch, Dinner","Street, Private Lot",Yes,Yes,Yes,Casual,Divey,Average,No,Yes,Free,Yes,Yes,,Yes
1/14/2015,PR0008308,CENTINELA CAFE,"4800 S CENTINELA AVE  LOS ANGELES, CA 90066",4800 S CENTINELA AVE,LOS ANGELES,CA,90066,1635,RESTAURANT (31-60) SEATS HIGH RISK,ROUTINE INSPECTION,IVJWLSCWV,16F043,# 43. Premises; personal/cleaning items; vermin-proofing,1,96,A,1,4,158,$,13103912585,No,No,Yes,Yes,No,"Breakfast, Brunch, Lunch",Private Lot,Yes,Yes,Yes,Casual,Casual,Average,No,No,No,Yes,No,,Yes
3/6/2015,PR0003866,CENTINELA CHEVRON,"5975 W CENTINELA AVE  LOS ANGELES, CA 90045",5975 W CENTINELA AVE,LOS ANGELES,CA,90045,1610,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",ROUTINE INSPECTION,IVSYD6JCG,16F030,# 30. Food properly stored; food storage containers identified,1,95,A,1,3.5,27,,13106417776,,,,Yes,,,,,,,,,,,,,,,,
10/6/2014,PR0122270,CENTRAL KITCHEN AT THE LORENZO,"325 W ADAMS BLVD LOS ANGELES, CA 90007",325 W ADAMS BLVD,LOS ANGELES,CA,90007,1638,RESTAURANT (61-150) SEATS HIGH RISK,ROUTINE INSPECTION,IVYYDI06H,16F036,"# 36. Equipment, utensils and linens: storage and use",1,96,A,1,3.5,465,,12134555271,,,,Yes,No,,,,,,,,,,,,,,,
3/17/2015,PR0044427,CENTRO BOTANICO NACIONAL,"1530 1/2 W SUNSET BLVD  LOS ANGELES, CA 90026",1530 1/2 W SUNSET BLVD,LOS ANGELES,CA,90026,1610,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",ROUTINE INSPECTION,IVS0U00WD,16F043,# 43. Premises; personal/cleaning items; vermin-proofing,1,99,A,1,4.5,3,,12132500909,,,,,,,,,No,,,,,,,,,,,
4/2/2015,PR0032039,CENTURY CITY - 76,"10389 SANTA MONICA BLVD  LOS ANGELES, CA 90025",10389 SANTA MONICA BLVD,LOS ANGELES,CA,90025,1610,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",ROUTINE INSPECTION,IVWY5N0ZW,16F030,# 30. Food properly stored; food storage containers identified,1,94,A,1,4,48,$$,13102778686,,,No,Yes,No,,,No,,,,,,,,,,No,,
4/28/2015,PR0008426,CENTURY CITY MEDICAL PLAZA,"2080 CENTURY park E #102 LOS ANGELES, CA 90067",2080 CENTURY park E #102,LOS ANGELES,CA,90067,1610,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",ROUTINE INSPECTION,IVQVOTGCZ,16F033,# 33. Nonfood-contact surfaces clean and in good repair,1,99,A,1,3.5,9,$,13105533434,,,,Yes,No,,Garage,Yes,,,,,,,,,,,,
11/25/2014,PR0012781,CENTURY DONUTS,"1000 W CENTURY BLVD  LOS ANGELES, CA 90044",1000 W CENTURY BLVD,LOS ANGELES,CA,90044,1631,RESTAURANT (0-30) SEATS MODERATE RISK,ROUTINE INSPECTION,IVOCZXPB2,16F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",1,96,A,1,4,3,$$,,,,Yes,Yes,,,,No,,,,,,,,,,,,
2/17/2015,PR0002858,CENTURY GIFT SHOP,"5547 W CENTURY BLVD  LOS ANGELES, CA 90045",5547 W CENTURY BLVD,LOS ANGELES,CA,90045,1610,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",ROUTINE INSPECTION,IV67EUVEM,16F014,# 14. Food contact surfaces: clean and sanitized,4,96,A,1,1,1,,13103371035,,,,,,,,,,,,,,,,,,,,
11/24/2014,PR0039201,CENTURY GRILL,"1901 AVENUE OF THE STARS # #A LOS ANGELES, CA 90067",1901 AVENUE OF THE STARS # #A,LOS ANGELES,CA,90067,1632,RESTAURANT (0-30) SEATS HIGH RISK,ROUTINE INSPECTION,IVV2YCCNP,16F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",1,94,A,1,4.5,12,$,13105536650,No,No,Yes,No,,,,Yes,Yes,Yes,Casual,,Quiet,No,No,,Yes,No,,
7/26/2016,PR0180705,CENTURY LIQUOR & MARKET,"5431 W PICO BLVD LOS ANGELES, CA 90019",5431 W PICO BLVD,LOS ANGELES,CA,90019,1612,"FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",ROUTINE INSPECTION,IVUO3FMJO,16F030,# 30. Food properly stored; food storage containers identified,1,92,A,1,4,46,$$,13239650600,,,Yes,Yes,No,,Private Lot,Yes,,,,,,,,,,,,
4/6/2016,PR0000016,CENTURY LIQUOR STORE,"2115 W JEFFERSON BLVD  LOS ANGELES, CA 90018",2115 W JEFFERSON BLVD,LOS ANGELES,CA,90018,1610,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",ROUTINE INSPECTION,IVLNYUYVR,16F030,# 30. Food properly stored; food storage containers identified,1,98,A,1,3,4,$,13237311174,,,No,Yes,No,,,,,,,,,,,,,No,,
6/29/2015,PR0005259,CENTURY MARINA LIQUOR,"8526 LINCOLN BLVD  LOS ANGELES, CA 90045",8526 LINCOLN BLVD,LOS ANGELES,CA,90045,1610,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",ROUTINE INSPECTION,IVTGGOYKA,16F021,# 21. Hot and cold water available,2,96,A,1,2.5,3,$,13106650909,,,,Yes,,,,,,,,,,,,,,,,
4/28/2015,PR0020655,CENTURY MARKET,"9816 S NORMANDIE AVE  LOS ANGELES, CA 90044",9816 S NORMANDIE AVE,LOS ANGELES,CA,90044,1610,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",ROUTINE INSPECTION,IVIUU1UP1,16F023,"# 23. No rodents, insects, birds, or animals",2,97,A,1,1,1,,13237557235,,,,Yes,,,,No,,,,,,,,,,,,
1/2/2015,PR0034538,CERESE'S PIZZA,"351 S ATLANTIC BLVD  LOS ANGELES, CA 90022",351 S ATLANTIC BLVD,LOS ANGELES,CA,90022,1631,RESTAURANT (0-30) SEATS MODERATE RISK,ROUTINE INSPECTION,IVO7L4XGC,16F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",1,95,A,1,4,24,$,13232607110,No,Yes,Yes,No,,,Street,No,Yes,Yes,Casual,,Average,No,No,No,Yes,No,,
1/27/2015,PR0156914,CERVETECA DTLA,"923 E 3RD ST STE 109 LOS ANGELES, CA 90013",923 E 3RD ST STE 109,LOS ANGELES,CA,90013,1635,RESTAURANT (31-60) SEATS HIGH RISK,ROUTINE INSPECTION,IVJQA0R7U,16F034,"# 34. Warewashing facilities: Adequate, maintained, properly use, test strips available",1,92,A,1,4,622,$$,12136200781,Yes,No,Yes,Yes,No,Dinner,"Street, Private Lot",Yes,No,Yes,Casual,"Hipster, Casual",Average,Full Bar,No,No,Yes,Yes,,
4/27/2015,PR0025902,CESAR CHAVEZ SHELL,"4357 E CESAR E CHAVEZ AVE  LOS ANGELES, CA 90022",4357 E CESAR E CHAVEZ AVE,LOS ANGELES,CA,90022,1610,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",ROUTINE INSPECTION,IVRE9GU0C,16F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",1,97,A,1,2,12,,13232648500,,,,Yes,,,,,,,,,,,,,,,,Yes
1/22/2015,PR0027229,CGV CINEMAS CONCESSION STAND,"621 S WESTERN AVE STE 304 LOS ANGELES, CA 90005",621 S WESTERN AVE STE 304,LOS ANGELES,CA,90005,1637,RESTAURANT (61-150) SEATS MODERATE RISK,ROUTINE INSPECTION,IV0CIMFNQ,16F036,"# 36. Equipment, utensils and linens: storage and use",1,95,A,1,4.5,318,,12133889000,,,,,,,,,Yes,,,,,,,,,,,
1/8/2016,PR0038243,CHA CHA CHILI,"4625 E VALLEY BLVD  LOS ANGELES, CA 90032",4625 E VALLEY BLVD,LOS ANGELES,CA,90032,1635,RESTAURANT (31-60) SEATS HIGH RISK,ROUTINE INSPECTION,IV1WO880V,16F038,# 38. Thermometers provided and accurate,1,92,A,1,4,1026,$,13232228900,No,No,Yes,Yes,No,"Lunch, Dinner","Street, Private Lot",Yes,Yes,Yes,Casual,Casual,Average,No,Yes,No,Yes,Yes,,Yes
9/10/2015,PR0023270,CHA CHA LOUNGE,"2375 GLENDALE BLVD  LOS ANGELES, CA 90039",2375 GLENDALE BLVD,LOS ANGELES,CA,90039,1633,RESTAURANT (31-60) SEATS LOW RISK,ROUTINE INSPECTION,IVTMFELXW,16F042,"# 42. Toilet facilities: properly constructed, supplied, cleaned",1,97,A,1,3.5,717,$,13236607595,No,No,No,Yes,No,,Street,Yes,No,Yes,Casual,Hipster,Very Loud,Full Bar,No,No,No,No,,
10/22/2015,PR0025294,CHADO TEA ROOM,"6801 HOLLYWOOD BLVD # 19010 LOS ANGELES, CA 90028",6801 HOLLYWOOD BLVD # 19010,LOS ANGELES,CA,90028,1631,RESTAURANT (0-30) SEATS MODERATE RISK,ROUTINE INSPECTION,IVFG8DN9R,16F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",1,90,A,1,3.5,356,$$,13234728111,Yes,No,No,Yes,No,,Garage,Yes,No,Yes,Casual,,,,Yes,Free,,Yes,,
11/12/2014,PR0019349,CHALET EDELWEISS,"8740 S SEPULVEDA BLVD  LOS ANGELES, CA 90045",8740 S SEPULVEDA BLVD,LOS ANGELES,CA,90045,1638,RESTAURANT (61-150) SEATS HIGH RISK,ROUTINE INSPECTION,IVSBM06ED,16F034,"# 34. Warewashing facilities: Adequate, maintained, properly use, test strips available",1,96,A,1,4,366,$$,13106458740,Yes,Yes,Yes,Yes,No,,Private Lot,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,Free,Yes,Yes,,
8/26/2015,PR0035207,CHAM CHAM CHAM,"3250 W OLYMPIC BLVD STE 314 LOS ANGELES, CA 90006",3250 W OLYMPIC BLVD STE 314,LOS ANGELES,CA,90006,1632,RESTAURANT (0-30) SEATS HIGH RISK,ROUTINE INSPECTION,IV071QVMX,16F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",1,94,A,1,4,27,$,13237668600,No,No,Yes,Yes,,,Garage,,Yes,Yes,Casual,,Average,,Yes,,Yes,,,
